nome_datacenter;operadora;endereco;cep;cidade;estado;pais;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status
Telium Data Center - SPO;Telium Networks;Av. das Nações Unidas, 13797;04794000;São Paulo;SP;Brazil;-23.61994685255926;-46.69968078363942;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/telium-data-center--spo/;;;;;;;;;2N+1;1;1;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;1;1;1;0;0;35;0;0;;816;ok;ok
Terranova Campinas;TERRANOVA;Rod. Campinas-Mogi Mirim, Km 118 - 5 - Fazenda Pau D´Alho;13086-902;Campinas;;Brazil;-22.813370520936104;-47.03825864636827;1;1;Facility;Colocation;;https://www.datacentermap.com/brazil/campinas/terranova-campinas/;300;300;;;2027;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Tether Angélica;Tether Limited Inc.;Est. Angélica/BR 267, Km14 - S/N;79785-000;Angélica;;Brazil;-22.03958351176135;-53.84258222396632;1;0;Facility;Enterprise;;https://www.datacentermap.com/brazil/campo-grande/tether-angelica/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
Tether Ivinhema;Tether Limited Inc.;Rod. Paulo Rodrigues Santos;79740-000;Ivinhema;;Brazil;-22.39820517765363;-53.89047238949252;1;0;Facility;Enterprise;;https://www.datacentermap.com/brazil/campo-grande/tether-ivinhema/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
TIP Brasil Campinas;TIP Brasil;R. Miguel Pascoal, 104 - Jardim do Trevo;13041-312;Campinas;;Brazil;-22.91722523225336;-47.06369711363217;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/campinas/tip-brasil-campinas/;10;10;;;2025;Purpose-built;Sole-tenant;;;;;;3;;;;;;;;;;;;1;1;1;1;0;0;0;;0;0;0;0;0;0;0;0;0;;;ok;ok
TO HOST Data Centers;TO HOST Data Centers;Quadra ACSV SO 43, Av. LO 09, Lote 10, Sl 01;77015684;Palmas;Tocantins;Brazil;-10.2048941;-48.3529666;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/palmas/to-host-data-centers/;0.075;0.075;37;37;2023;Purpose-built;Multi-tenant (data centers only);;N+1;1;1;1;3;3;;1;1;;1;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok
TSData Eugênio de Melo;TSData;TBA - To Be Announced;12247-016;São José dos Campos;;Brazil;-23.1510828;-45.7828613;1;1;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-jose-dos-campos/tsdata/;0.65;0.65;1000;1000;2026;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;0;1;1;1;1;0;0;;0;0;0;0;0;0;0;0;0;;;ok;ok
Tyna Host Data Center;Tyna Host Datacenter no Brasil;R. Waldemar Vaz Pereira, 45;36889-186;Muriaé;;Brazil;-21.12686855946254;-42.35765232351934;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/muriae/tyna-host-data-center/;;;;;;;;;N+1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;0;;9702;bloqueado;ok
Ultranet Telecom DC Cambuci;Ultranet Telecom;Rua Simao Dias da Fonseca, 61;01539-020;Cambuci;;Brazil;-23.5723918;-46.6220983;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/ultranet-telecom/;;;;;2015;Purpose-built;Sole-tenant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;16079;bloqueado;ok
Unifique Timbó DC1;Unifique;R. Duque de Caxias, 831 - Centro;89120-000;Timbó;;Brazil;-26.819629;-49.2729353;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/blumenau/unifique-timb-dc1/;1.5;1.5;685;685;;;;;N+1;;;;3;3;;;;;;;;;;;1;1;1;1;0;0;1;;;0;0;0;0;0;0;0;0;;;ok;ok
