site_id,ano,classe_id,classe_nome,area_landsat_ha,area_s2_nativo_ha,area_s2_agregado30_ha,diff_total_ha,diff_total_pp,diff_resolucao_ha,diff_resolucao_pp,diff_sensor_isolado_ha,diff_sensor_isolado_pp
ascenty-paulinia,2019,3,solo_exposto_obras,332.91,401.42,258.75,68.51,0.6824,-142.67,-1.421,-74.16,-0.7386
ascenty-paulinia,2019,4,construida_urbana,2475.27,3159.76,3311.55,684.49,6.8176,151.79,1.5118,836.28,8.3294
ascenty-paulinia,2019,5,agua,383.49,217.29,190.26,-166.2,-1.6554,-27.03,-0.2692,-193.23,-1.9246
ascenty-paulinia,2020,1,vegetacao_densa,2986.02,2591.65,2641.77,-394.37,-3.928,50.12,0.4992,-344.25,-3.4288
ascenty-paulinia,2020,2,vegetacao_rala,3529.17,3466.57,3449.79,-62.6,-0.6235,-16.78,-0.1671,-79.38,-0.7906
ascenty-paulinia,2020,3,solo_exposto_obras,478.53,498.12,334.53,19.59,0.1951,-163.59,-1.6294,-144.0,-1.4343
ascenty-paulinia,2020,4,construida_urbana,2684.34,3257.35,3410.64,573.01,5.7072,153.29,1.5268,726.3,7.234
ascenty-paulinia,2020,5,agua,361.98,226.35,203.31,-135.63,-1.3509,-23.04,-0.2295,-158.67,-1.5804
ascenty-paulinia,2021,1,vegetacao_densa,2851.92,2289.18,2328.3,-562.74,-5.605,39.12,0.3896,-523.62,-5.2153
ascenty-paulinia,2021,2,vegetacao_rala,3424.23,3827.76,3842.64,403.53,4.0192,14.88,0.1482,418.41,4.1674
ascenty-paulinia,2021,3,solo_exposto_obras,479.88,556.94,384.57,77.06,0.7675,-172.37,-1.7168,-95.31,-0.9493
ascenty-paulinia,2021,4,construida_urbana,2903.22,3190.51,3326.49,287.29,2.8614,135.98,1.3544,423.27,4.2158
ascenty-paulinia,2021,5,agua,380.79,175.65,158.04,-205.14,-2.0432,-17.61,-0.1754,-222.75,-2.2186
ascenty-sumare,2019,1,vegetacao_densa,2296.08,2179.74,2213.19,-116.34,-1.1555,33.45,0.3322,-82.89,-0.8233
ascenty-sumare,2019,2,vegetacao_rala,3811.95,3479.79,3449.79,-332.16,-3.2988,-30.0,-0.2979,-362.16,-3.5967
ascenty-sumare,2019,3,solo_exposto_obras,491.49,543.95,385.29,52.46,0.5209,-158.66,-1.5756,-106.2,-1.0547
ascenty-sumare,2019,4,construida_urbana,3249.27,3750.89,3929.76,501.62,4.981,178.87,1.7762,680.49,6.7572
ascenty-sumare,2019,5,agua,221.22,115.73,92.07,-105.49,-1.0476,-23.66,-0.235,-129.15,-1.2825
ascenty-sumare,2020,1,vegetacao_densa,1681.29,1547.56,1575.99,-133.73,-1.328,28.43,0.2823,-105.3,-1.0457
ascenty-sumare,2020,2,vegetacao_rala,4038.39,3797.92,3804.84,-240.47,-2.388,6.92,0.0687,-233.55,-2.3192
ascenty-sumare,2020,3,solo_exposto_obras,672.03,777.93,598.59,105.9,1.0516,-179.34,-1.7809,-73.44,-0.7293
ascenty-sumare,2020,4,construida_urbana,3486.96,3840.16,4003.02,353.2,3.5074,162.86,1.6173,516.06,5.1247
ascenty-sumare,2020,5,agua,191.43,106.53,87.66,-84.9,-0.8431,-18.87,-0.1874,-103.77,-1.0305
ascenty-sumare,2021,1,vegetacao_densa,1479.87,1355.67,1379.7,-124.2,-1.2334,24.03,0.2386,-100.17,-0.9947
ascenty-sumare,2021,2,vegetacao_rala,4033.71,4045.23,4070.88,11.52,0.1144,25.65,0.2547,37.17,0.3691
ascenty-sumare,2021,3,solo_exposto_obras,675.81,767.14,569.97,91.33,0.9069,-197.17,-1.958,-105.84,-1.051
ascenty-sumare,2021,4,construida_urbana,3699.99,3793.95,3961.26,93.96,0.9331,167.31,1.6615,261.27,2.5945
ascenty-sumare,2021,5,agua,180.72,108.11,88.29,-72.61,-0.721,-19.82,-0.1968,-92.43,-0.9179
ascenty-vinhedo,2019,1,vegetacao_densa,4470.3,3947.53,3997.17,-522.77,-5.1933,49.64,0.4929,-473.13,-4.7003
ascenty-vinhedo,2019,2,vegetacao_rala,3704.67,3598.46,3582.81,-106.21,-1.0564,-15.65,-0.1554,-121.86,-1.2118
ascenty-vinhedo,2019,3,solo_exposto_obras,269.19,302.63,201.96,33.44,0.332,-100.67,-0.9997,-67.23,-0.6677
ascenty-vinhedo,2019,4,construida_urbana,1351.71,2021.05,2108.88,669.34,6.6462,87.83,0.8722,757.17,7.5184
ascenty-vinhedo,2019,5,agua,273.78,200.43,179.28,-73.35,-0.7285,-21.15,-0.21,-94.5,-0.9385
ascenty-vinhedo,2020,1,vegetacao_densa,4050.45,3322.98,3374.82,-727.47,-7.2626,51.84,0.5148,-675.63,-6.7478
ascenty-vinhedo,2020,2,vegetacao_rala,4074.39,4105.78,4108.77,31.39,0.273,2.99,0.0297,34.38,0.3027
ascenty-vinhedo,2020,3,solo_exposto_obras,323.91,449.29,326.34,125.38,1.242,-122.95,-1.2209,2.43,0.0211
ascenty-vinhedo,2020,4,construida_urbana,1260.36,1992.7,2081.25,732.34,7.2604,88.55,0.8793,820.89,8.1398
ascenty-vinhedo,2020,5,agua,351.36,199.35,178.92,-152.01,-1.5129,-20.43,-0.2029,-172.44,-1.7157
ascenty-vinhedo,2021,1,vegetacao_densa,3228.57,3219.87,3266.82,-8.7,-0.0875,46.95,0.4662,38.25,0.3787
ascenty-vinhedo,2021,2,vegetacao_rala,4693.32,4197.34,4221.45,-495.98,-4.9269,24.11,0.2394,-471.87,-4.6875
ascenty-vinhedo,2021,3,solo_exposto_obras,420.93,445.38,312.66,24.45,0.2426,-132.72,-1.318,-108.27,-1.0753
ascenty-vinhedo,2021,4,construida_urbana,1446.84,2014.03,2093.4,567.19,5.6319,79.37,0.7882,646.56,6.4201
ascenty-vinhedo,2021,5,agua,280.08,193.48,175.77,-86.6,-0.8601,-17.71,-0.1759,-104.31,-1.0359
clickip-manaus,2019,1,vegetacao_densa,2567.25,2178.93,2203.02,-388.32,-3.8922,24.09,0.2392,-364.23,-3.653
clickip-manaus,2019,2,vegetacao_rala,1286.19,540.38,456.3,-745.81,-7.4242,-84.08,-0.8349,-829.89,-8.2592
clickip-manaus,2019,3,solo_exposto_obras,515.34,412.89,300.78,-102.45,-1.0246,-112.11,-1.1133,-214.56,-2.1379
