site_id,ano_overlap,classe_id,classe_nome,area_landsat_2018_ha,area_landsat_ano_ha,area_s2_ano_ha,degrau_publicado_ha,degrau_publicado_pp,controle_real_landsat_ha,artefato_sensor_ha,razao_artefato_sobre_controle,veredito
ascenty-maracanau,2021,1,vegetacao_densa,1520.28,1531.35,804.78,-715.5,-7.1617,11.07,-726.57,65.634,NAO_DISTINGUIVEL
ascenty-maracanau,2021,2,vegetacao_rala,2394.54,2233.89,2730.43,335.89,3.2466,-160.65,496.54,3.091,NAO_DISTINGUIVEL
ascenty-maracanau,2021,3,solo_exposto_obras,89.91,121.32,1106.14,1016.23,10.0882,31.41,984.82,31.354,NAO_DISTINGUIVEL
ascenty-maracanau,2021,4,construida_urbana,5807.88,5971.23,5146.24,-661.64,-6.786,163.35,-824.99,5.05,NAO_DISTINGUIVEL
ascenty-maracanau,2021,5,agua,219.96,211.32,282.5,62.54,0.6129,-8.64,71.18,8.238,NAO_DISTINGUIVEL
ascenty-osasco,2019,1,vegetacao_densa,2028.42,2259.18,2436.95,408.53,4.0558,230.76,177.77,0.77,NAO_DISTINGUIVEL
ascenty-osasco,2019,2,vegetacao_rala,1592.73,1523.52,1204.89,-387.84,-3.8522,-69.21,-318.63,4.604,NAO_DISTINGUIVEL
ascenty-osasco,2019,3,solo_exposto_obras,80.37,66.24,1405.33,1324.96,13.1573,-14.13,1339.09,94.769,NAO_DISTINGUIVEL
ascenty-osasco,2019,4,construida_urbana,6292.62,6130.62,4763.2,-1529.42,-15.1911,-162.0,-1367.42,8.441,NAO_DISTINGUIVEL
ascenty-osasco,2019,5,agua,75.42,90.54,259.73,184.31,1.8302,15.12,169.19,11.19,NAO_DISTINGUIVEL
ascenty-osasco,2020,1,vegetacao_densa,2028.42,2046.33,2228.51,200.09,1.9859,17.91,182.18,10.172,NAO_DISTINGUIVEL
ascenty-osasco,2020,2,vegetacao_rala,1592.73,1557.81,1266.99,-325.74,-3.2356,-34.92,-290.82,8.328,NAO_DISTINGUIVEL
ascenty-osasco,2020,3,solo_exposto_obras,80.37,94.32,1496.82,1416.45,14.0659,13.95,1402.5,100.538,NAO_DISTINGUIVEL
ascenty-osasco,2020,4,construida_urbana,6292.62,6220.98,4838.22,-1454.4,-14.4461,-71.64,-1382.76,19.302,NAO_DISTINGUIVEL
ascenty-osasco,2020,5,agua,75.42,132.48,239.56,164.14,1.6299,57.06,107.08,1.877,NAO_DISTINGUIVEL
ascenty-osasco,2021,1,vegetacao_densa,2028.42,1892.97,2035.76,7.34,0.0718,-135.45,142.79,1.054,NAO_DISTINGUIVEL
ascenty-osasco,2021,2,vegetacao_rala,1592.73,1587.51,1321.08,-271.65,-2.6984,-5.22,-266.43,51.04,NAO_DISTINGUIVEL
ascenty-osasco,2021,3,solo_exposto_obras,80.37,92.88,1672.85,1592.48,15.8139,12.51,1579.97,126.297,NAO_DISTINGUIVEL
ascenty-osasco,2021,4,construida_urbana,6292.62,6411.51,4811.72,-1480.9,-14.7093,118.89,-1599.79,13.456,NAO_DISTINGUIVEL
ascenty-osasco,2021,5,agua,75.42,84.96,228.69,153.27,1.522,9.54,143.73,15.066,NAO_DISTINGUIVEL
ascenty-paulinia,2019,1,vegetacao_densa,893.34,1247.4,1344.3,450.96,4.4916,354.06,96.9,0.274,DISTINGUIVEL
ascenty-paulinia,2019,2,vegetacao_rala,4850.82,4988.34,4998.36,147.54,1.4695,137.52,10.02,0.073,DISTINGUIVEL
ascenty-paulinia,2019,3,solo_exposto_obras,98.46,69.21,1432.2,1333.74,13.2842,-29.25,1362.99,46.598,NAO_DISTINGUIVEL
ascenty-paulinia,2019,4,construida_urbana,4103.19,3640.14,2072.88,-2030.31,-20.2221,-463.05,-1567.26,3.385,NAO_DISTINGUIVEL
ascenty-paulinia,2019,5,agua,94.23,94.95,192.3,98.07,0.9768,0.72,97.35,135.208,NAO_DISTINGUIVEL
ascenty-paulinia,2020,1,vegetacao_densa,893.34,975.96,1128.99,235.65,2.3471,82.62,153.03,1.852,NAO_DISTINGUIVEL
ascenty-paulinia,2020,2,vegetacao_rala,4850.82,4964.31,4854.79,3.97,0.0395,113.49,-109.52,0.965,NAO_DISTINGUIVEL
ascenty-paulinia,2020,3,solo_exposto_obras,98.46,84.6,1812.65,1714.19,17.0735,-13.86,1728.05,124.679,NAO_DISTINGUIVEL
ascenty-paulinia,2020,4,construida_urbana,4103.19,3926.97,2014.89,-2088.3,-20.7997,-176.22,-1912.08,10.851,NAO_DISTINGUIVEL
ascenty-paulinia,2020,5,agua,94.23,88.2,228.72,134.49,1.3395,-6.03,140.52,23.303,NAO_DISTINGUIVEL
ascenty-paulinia,2021,1,vegetacao_densa,893.34,625.05,946.11,52.77,0.5256,-268.29,321.06,1.197,NAO_DISTINGUIVEL
ascenty-paulinia,2021,2,vegetacao_rala,4850.82,4857.3,4791.09,-59.73,-0.5949,6.48,-66.21,10.218,NAO_DISTINGUIVEL
ascenty-paulinia,2021,3,solo_exposto_obras,98.46,129.33,2071.29,1972.83,19.6496,30.87,1941.96,62.908,NAO_DISTINGUIVEL
ascenty-paulinia,2021,4,construida_urbana,4103.19,4351.59,2067.13,-2036.06,-20.2794,248.4,-2284.46,9.197,NAO_DISTINGUIVEL
ascenty-paulinia,2021,5,agua,94.23,76.77,164.42,70.19,0.6991,-17.46,87.65,5.02,NAO_DISTINGUIVEL
ascenty-sumare,2019,1,vegetacao_densa,343.98,587.61,805.57,461.59,4.5838,243.63,217.96,0.895,NAO_DISTINGUIVEL
ascenty-sumare,2019,2,vegetacao_rala,4740.12,4796.91,4752.83,12.71,0.1262,56.79,-44.08,0.776,NAO_DISTINGUIVEL
ascenty-sumare,2019,3,solo_exposto_obras,232.47,178.2,1630.07,1397.6,13.8787,-54.27,1451.87,26.753,NAO_DISTINGUIVEL
