site_id,ano,n_pixels_comparados,pct_concordancia_geral,n_pixels_borda,pct_concordancia_borda,n_pixels_interior,pct_concordancia_interior,concordancia_classe_vegetacao_densa,concordancia_classe_vegetacao_rala,concordancia_classe_solo_exposto_obras,concordancia_classe_construida_urbana,concordancia_classe_agua
equinix-santana-parnaiba,2020,111882,75.69,58627,63.81,53255,88.769,91.00942685745449,69.28920039631574,87.36559139784946,65.70556618383894,85.39402173913044
equinix-santana-parnaiba,2021,111879,71.47,58864,59.406,53015,84.865,85.42217084984588,69.78186164649634,88.60369609856262,60.714439053711736,90.04115226337449
everest-goiania,2019,111556,77.856,47811,65.157,63745,87.381,77.04528396297223,75.13082721206011,48.70967741935484,78.90353409411966,90.65656565656566
everest-goiania,2020,111556,74.537,54850,63.32,56706,85.388,67.35937656109502,70.3462876153032,64.18879056047197,76.6324492078051,88.20754716981132
everest-goiania,2021,111556,77.373,47015,63.503,64541,87.476,69.26920674578389,76.09756097560975,63.233082706766915,78.62502731975036,91.23711340206185
hostdime-joao-pessoa,2019,105640,73.889,57858,61.374,47782,89.042,78.4406858202039,41.09908069458631,44.34389140271493,81.02853704260883,96.76348971361479
hostdime-joao-pessoa,2020,107507,75.497,60038,63.488,47469,90.687,84.09078078247614,38.97368104795097,48.53051996985682,83.05906247836222,98.67671110670565
hostdime-joao-pessoa,2021,101974,77.156,55594,64.842,46380,91.917,82.29774001887945,44.399365789964556,61.54708520179372,81.89495658774968,98.92682926829268
odata-hortolandia,2019,111548,77.689,55165,66.044,56383,89.084,76.13566289825283,88.74017282827627,86.50485436893204,68.19576954367281,95.1035781544256
odata-hortolandia,2020,111555,75.398,51258,63.063,60297,85.883,79.16405171331743,88.76223596084492,89.85507246376811,63.09463471146188,92.67461669505963
odata-hortolandia,2021,111550,70.726,50016,57.867,61534,81.178,87.23497267759562,86.98208021238267,82.8853046594982,58.28255812113251,94.21487603305785
scala-sgigsm01,2019,111761,89.504,19666,66.373,92095,94.444,77.51937984496124,70.63856960408684,81.10831234256926,91.2685909059382,85.37477148080438
scala-sgigsm01,2020,111890,89.781,25772,70.468,86118,95.561,75.7361963190184,66.25216262975779,89.77635782747603,92.44592649652348,90.9090909090909
scala-sgigsm01,2021,111890,89.988,23782,70.911,88108,95.138,71.73913043478261,72.04054543260528,88.96551724137932,92.0495761777849,91.02902374670185
scala-spoapa01,2019,110993,75.141,56573,62.714,54420,88.06,78.44422700587084,61.042957896986536,65.61461794019934,72.1769185073176,97.11660777385158
scala-spoapa01,2020,111490,76.108,47531,61.564,63959,86.917,80.40520108859994,66.63555762949137,70.20872865275142,70.03362405912372,97.22297972911554
scala-spoapa01,2021,107620,75.167,48651,60.938,58969,86.907,62.5884968696975,61.12200067590402,45.24271844660194,74.98539526995195,95.38232373386296
scala-tambore,2019,111889,79.481,45118,62.266,66771,91.113,93.73277723988977,61.323111868256674,87.52834467120181,78.22427908113391,90.84967320261438
scala-tambore,2020,111875,79.987,41942,62.331,69933,90.577,94.32750191911438,65.10852362649786,87.69633507853403,78.47286659283427,80.44959128065395
scala-tambore,2021,111877,77.598,42064,59.633,69813,88.422,92.11902924277506,65.01397428731134,89.50086058519794,75.57371070099934,89.4572025052192
