site_id,ano,sensor,resolucao_m,classe_id,classe_nome,area_m2,area_ha,pct_area_valida,pixels_validos,fator_correcao_sensor,modelo_versao,gerado_em,tipo,pareado_com,tier,precisao_coordenada,faixa_serie
angonap-fortaleza,2020,sentinel2,10,5,agua,54069800.0,5406.98,53.8542,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2021,landsat,30,1,vegetacao_densa,10617300.0,1061.73,10.6078,111211,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2021,landsat,30,2,vegetacao_rala,9702000.0,970.2,9.6933,111211,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2021,landsat,30,3,solo_exposto_obras,5998500.0,599.85,5.9931,111211,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2021,landsat,30,4,construida_urbana,19703700.0,1970.37,19.686,111211,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2021,landsat,30,5,agua,54068400.0,5406.84,54.0198,111211,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_overlap_referencia
angonap-fortaleza,2021,sentinel2,10,1,vegetacao_densa,9417400.0,941.74,9.3798,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2021,sentinel2,10,2,vegetacao_rala,5735600.0,573.56,5.7127,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2021,sentinel2,10,3,solo_exposto_obras,5057700.0,505.77,5.0375,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2021,sentinel2,10,4,construida_urbana,26232800.0,2623.28,26.1282,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2021,sentinel2,10,5,agua,53956900.0,5395.69,53.7417,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2022,landsat,30,1,vegetacao_densa,11644200.0,1164.42,11.632,111228,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2022,landsat,30,2,vegetacao_rala,7462800.0,746.28,7.455,111228,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2022,landsat,30,3,solo_exposto_obras,4743900.0,474.39,4.7389,111228,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2022,landsat,30,4,construida_urbana,22134600.0,2213.46,22.1113,111228,0.8112,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
angonap-fortaleza,2022,landsat,30,5,agua,54119700.0,5411.97,54.0628,111228,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2022,sentinel2,10,1,vegetacao_densa,10124200.0,1012.42,10.0838,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2022,sentinel2,10,2,vegetacao_rala,4891400.0,489.14,4.8719,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2022,sentinel2,10,3,solo_exposto_obras,4340200.0,434.02,4.3229,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2022,sentinel2,10,4,construida_urbana,26794600.0,2679.46,26.6877,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2022,sentinel2,10,5,agua,54250000.0,5425.0,54.0336,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2023,landsat,30,1,vegetacao_densa,11394000.0,1139.4,11.3929,111122,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2023,landsat,30,2,vegetacao_rala,8925300.0,892.53,8.9244,111122,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2023,landsat,30,3,solo_exposto_obras,4886100.0,488.61,4.8856,111122,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2023,landsat,30,4,construida_urbana,20602800.0,2060.28,20.6008,111122,0.8112,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_corrigido_sv20
angonap-fortaleza,2023,landsat,30,5,agua,54201600.0,5420.16,54.1963,111122,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,landsat_pre2019_nao_corrigido
angonap-fortaleza,2023,sentinel2,10,1,vegetacao_densa,9485700.0,948.57,9.4479,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2023,sentinel2,10,2,vegetacao_rala,5738600.0,573.86,5.7157,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
angonap-fortaleza,2023,sentinel2,10,3,solo_exposto_obras,4466400.0,446.64,4.4486,1004004,1.0,rf_v2.0-dw,2026-09-13T15:46:34.240812+00:00,tratamento,,1,exata,sentinel2_oficial_2019_2025
