site_id,pais,tipo,pareado_com,nome,operadora,lat,lon,buffer_km,ano,ano_inicio_obra,fonte_data_obra,ano_relativo_ao_inicio_obra,fase,dist_tratamento_controle_km,instrumento,resolucao_m,pixels_validos,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua,municipio,uf,codigo_ibge,n_predios_no_campus,lst_media_celsius,populacao,populacao_buffer_5km,pib_mil_reais,tier,regiao,bioma,qualidade_par,l1_rf
ctrl-ascenty-jundiai-p01,BR,controle,ascenty-jundiai,,,-23.24767,-46.74807,5,2017,2019,declarada_datacentermap,-2,pre,24,rf_v1.0-tuned,30,112225,3047.85,4315.95,23.49,2697.66,15.3,0.30176,0.427311,0.002326,0.267088,0.001515,Campo Limpo Paulista,SP,3509601,1,26.3213,82520.0,177684,1850600.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ctrl-ascenty-jundiai-p01,BR,controle,ascenty-jundiai,,,-23.24767,-46.74807,5,2018,2019,declarada_datacentermap,-1,pre,24,rf_v1.0-tuned,30,112224,3092.67,4314.15,52.29,2628.09,12.96,0.3062,0.427137,0.005177,0.260203,0.001283,Campo Limpo Paulista,SP,3509601,1,26.1075,83735.0,177684,2102640.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ctrl-ascenty-jundiai-p01,BR,controle,ascenty-jundiai,,,-23.24767,-46.74807,5,2019,2019,declarada_datacentermap,0,durante,24,rf_v1.0-tuned,30,112225,3679.92,3942.72,41.85,2418.57,17.19,0.364339,0.390359,0.004143,0.239456,0.001702,Campo Limpo Paulista,SP,3509601,1,26.7993,84650.0,177684,2145809.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ctrl-ascenty-jundiai-p01,BR,controle,ascenty-jundiai,,,-23.24767,-46.74807,5,2020,2019,declarada_datacentermap,1,pos,24,rf_v1.0-tuned,30,112225,3646.17,3931.29,41.04,2463.93,17.82,0.360998,0.389227,0.004063,0.243947,0.001764,Campo Limpo Paulista,SP,3509601,1,26.815,85541.0,177684,2219744.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ctrl-ascenty-jundiai-p01,BR,controle,ascenty-jundiai,,,-23.24767,-46.74807,5,2021,2019,declarada_datacentermap,2,pos,24,rf_v1.0-tuned,30,112225,2443.05,4528.8,42.75,3072.06,13.59,0.24188,0.448385,0.004233,0.304157,0.001346,Campo Limpo Paulista,SP,3509601,1,26.4329,86407.0,177684,2530950.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ctrl-ascenty-jundiai-p01,BR,controle,ascenty-jundiai,,,-23.24767,-46.74807,5,2022,2019,declarada_datacentermap,3,pos,24,rf_v1.0-tuned,30,112225,3267.99,4071.6,25.65,2720.07,14.94,0.323555,0.403119,0.00254,0.269307,0.001479,Campo Limpo Paulista,SP,3509601,1,25.1671,77632.0,177684,2976085.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ascenty-jundiai,BR,tratamento,ascenty-jundiai,,,-23.191744,-46.974604,5,2016,2019,declarada_datacentermap,-3,pre,24,rf_v1.0-tuned,30,110631,3081.15,4074.84,224.64,2518.11,58.05,0.309452,0.409252,0.022561,0.252904,0.00583,Jundiaí,SP,3525904,1,27.3208,405740.0,51079,40317016.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ascenty-jundiai,BR,tratamento,ascenty-jundiai,,,-23.191744,-46.974604,5,2017,2019,declarada_datacentermap,-2,pre,24,rf_v1.0-tuned,30,111431,3013.11,4092.93,219.15,2649.69,53.91,0.300446,0.408118,0.021852,0.264208,0.005376,Jundiaí,SP,3525904,1,27.4339,409497.0,51079,41084447.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ascenty-jundiai,BR,tratamento,ascenty-jundiai,,,-23.191744,-46.974604,5,2018,2019,declarada_datacentermap,-1,pre,24,rf_v1.0-tuned,30,111204,2754.27,4534.65,195.03,2472.84,51.57,0.275197,0.453086,0.019487,0.247077,0.005153,Jundiaí,SP,3525904,1,27.1242,414810.0,51079,43630306.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
ascenty-jundiai,BR,tratamento,ascenty-jundiai,,,-23.191744,-46.974604,5,2019,2019,declarada_datacentermap,0,durante,24,rf_v1.0-tuned,30,111455,3480.3,4031.01,145.35,2320.65,53.64,0.346956,0.401857,0.01449,0.231349,0.005347,Jundiaí,SP,3525904,1,27.411,418962.0,51079,46959283.0,2.0,Sudeste,Mata Atlântica,bom,0.088258
