site_id,tipo,pareado_com,ids_datacenter,n_predios_no_campus,municipio,uf,codigo_ibge,lat,lon,buffer_km,ano,ano_inicio_obra,ano_fim_obra,ano_relativo_ao_inicio_obra,fase,l1_rf,qualidade_par,dist_tratamento_controle_km,municipio_compartilhado_com_par,sensor,resolucao_m,pixels_validos,modelo_versao,area_ha_vegetacao_densa,area_ha_vegetacao_rala,area_ha_solo_exposto_obras,area_ha_construida_urbana,area_ha_agua,prop_vegetacao_densa,prop_vegetacao_rala,prop_solo_exposto_obras,prop_construida_urbana,prop_agua,lst_media_celsius,lst_mediana_celsius,lst_desvio_celsius,lst_n_cenas,populacao,populacao_tipo_estimativa,emprego_formal_total,pessoal_ocupado_total,numero_empresas,pib_mil_reais,regiao,bioma,tier,mw_construido_total,whitespace_construido_sqm_total,tier_projetado_max,n_predios_datacentermap
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,3519071,-22.896022,-47.179246,5,2015,2018,2022,-3,pre,0.036282,bom,16,False,landsat,30,111538,rf_v1.0-tuned,889.65,4168.71,112.68,4833.9,33.48,0.088625,0.415276,0.011225,0.48154,0.003335,30.8253,31.2946,4.3134,41,,,44481.0,50527.0,4660.0,11010484.0,Sudeste,Mata Atlântica,1.0,43.0,29969.0,3.0,4.0
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,3519071,-22.896022,-47.179246,5,2016,2018,2022,-2,pre,0.036282,bom,16,False,landsat,30,111550,rf_v1.0-tuned,621.0,4148.55,117.27,5121.72,30.96,0.061856,0.413223,0.011681,0.510157,0.003084,31.2258,32.9352,4.6493,44,219039.0,estimativa_intercensitaria,43916.0,49728.0,4551.0,11245733.0,Sudeste,Mata Atlântica,1.0,43.0,29969.0,3.0,4.0
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,3519071,-22.896022,-47.179246,5,2017,2018,2022,-1,pre,0.036282,bom,16,False,landsat,30,111556,rf_v1.0-tuned,597.33,4018.68,119.7,5275.17,29.16,0.059495,0.400265,0.011922,0.525413,0.002904,30.9936,31.8803,4.2814,44,222186.0,estimativa_intercensitaria,45683.0,51170.0,4340.0,12411319.0,Sudeste,Mata Atlântica,1.0,43.0,29969.0,3.0,4.0
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,3519071,-22.896022,-47.179246,5,2018,2018,2022,0,durante,0.036282,bom,16,False,landsat,30,111553,rf_v1.0-tuned,607.05,4085.64,116.28,5202.18,28.62,0.060465,0.406946,0.011582,0.518157,0.002851,31.3497,31.3109,3.6808,44,227353.0,estimativa_intercensitaria,43989.0,49529.0,4437.0,13154947.0,Sudeste,Mata Atlântica,1.0,43.0,29969.0,3.0,4.0
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,3519071,-22.896022,-47.179246,5,2019,2018,2022,1,durante,0.036282,bom,16,False,landsat,30,111548,rf_v1.0-tuned,945.18,4124.52,94.32,4846.95,28.35,0.094148,0.410837,0.009395,0.482797,0.002824,31.6212,32.2297,5.0381,44,230851.0,estimativa_intercensitaria,46222.0,51965.0,4759.0,14738378.0,Sudeste,Mata Atlântica,1.0,43.0,29969.0,3.0,4.0
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,3519071,-22.896022,-47.179246,5,2020,2018,2022,2,durante,0.036282,bom,16,False,landsat,30,111555,rf_v1.0-tuned,765.0,4093.65,109.98,5040.81,30.51,0.076196,0.407736,0.010954,0.502075,0.003039,32.0994,32.7899,4.2156,46,234259.0,estimativa_intercensitaria,46849.0,53067.0,5044.0,16386639.0,Sudeste,Mata Atlântica,1.0,43.0,29969.0,3.0,4.0
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,3519071,-22.896022,-47.179246,5,2021,2018,2022,3,durante,0.036282,bom,16,False,landsat,30,111550,rf_v1.0-tuned,431.64,3735.0,113.22,5735.79,23.85,0.042994,0.37203,0.011277,0.571322,0.002376,32.0817,33.2021,4.5881,46,237570.0,estimativa_intercensitaria,48701.0,55322.0,5502.0,18377822.0,Sudeste,Mata Atlântica,1.0,43.0,29969.0,3.0,4.0
ascenty-hortolandia,tratamento,ascenty-hortolandia,dc_23c0e2a666;dc_2b7c5d95d1;dc_3357273eaa;dc_6fba998120,4,Hortolândia,SP,3519071,-22.896022,-47.179246,5,2022,2018,2022,4,durante,0.036282,bom,16,False,landsat,30,111556,rf_v1.0-tuned,485.1,3855.78,101.61,5568.12,29.43,0.048317,0.38404,0.01012,0.554591,0.002931,30.4105,31.0664,3.7984,42,236641.0,censo,52612.0,63078.0,8386.0,21420797.0,Sudeste,Mata Atlântica,1.0,43.0,29969.0,3.0,4.0
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,dc_1e8c6816f0,1,Campo Limpo Paulista,SP,3509601,-23.24767,-46.74807,5,2016,2019,2019,-3,pre,0.088258,bom,24,False,landsat,30,112225,rf_v1.0-tuned,3083.04,4340.88,24.21,2634.3,17.82,0.305244,0.429779,0.002397,0.260815,0.001764,26.5402,27.822,3.875,44,81693.0,estimativa_intercensitaria,12236.0,14167.0,1269.0,1764249.0,,,,,,,
ctrl-ascenty-jundiai-p01,controle,ascenty-jundiai,dc_1e8c6816f0,1,Campo Limpo Paulista,SP,3509601,-23.24767,-46.74807,5,2017,2019,2019,-2,pre,0.088258,bom,24,False,landsat,30,112225,rf_v1.0-tuned,3047.85,4315.95,23.49,2697.66,15.3,0.30176,0.427311,0.002326,0.267088,0.001515,26.3213,26.8426,3.9698,45,82520.0,estimativa_intercensitaria,12495.0,14462.0,1269.0,1850600.0,,,,,,,
