slug,nome,regiao,operadora_link,operadora_nome,cidade,endereco,latitude,longitude,listingtype,capacitytype,url
asap-sp1,ASAP SP1,sao-paulo,asap-telecom,ASAP Telecom,São Paulo,"Av. das Nações Unidas, 22540",-23.6761714,-46.6992381,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/asap-sp1/
ascenty,Ascenty - Campinas CPS1,campinas,ascenty-data-centers,Ascenty Data Centers,Campinas,"Avenida Pierre Simon de Laplace, 1211",-22.848037,-47.153369,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty/
ascenty-hortolandia-campus,Ascenty Hortolandia Campus,campinas,ascenty-data-centers,Ascenty Data Centers,Hortolândia,R. Papa João Paulo II 4,-22.89580421484941,-47.17949818945308,Campus,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-campus/
ascenty-hortolandia-htl6,Ascenty - Hortolandia HTL6,campinas,ascenty-data-centers,Ascenty Data Centers,Hortolândia,Rua Papa João Paulo II,-22.8961068,-47.181245,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-htl6/
ascenty-htl04,Ascenty - Hortolandia HTL4,campinas,ascenty-data-centers,Ascenty Data Centers,Hortolândia,"Rua Papa João Paulo II, 4",-22.8948579,-47.1789044,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty-htl04/
ascenty-htl05,Ascenty - Hortolandia HTL5,campinas,ascenty-data-centers,Ascenty Data Centers,Hortolândia,"Rua Papa João Paulo II, 4",-22.8958925,-47.1801919,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty-htl05/
ascenty-jundiai1,Ascenty - Jundiai JDI1,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Jundiaí,"Rua Presbítero Plínio Alves de Souza, 757",-23.1919541,-46.9742117,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai1/
ascenty-jundiai2,Ascenty - Jundiai JDI2,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Jundiaí,"Av. Beirute, 863",-23.1924667,-46.9729886,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai2/
ascenty-sao-paulo-capital-campus,Ascenty Sao Paulo Capital Campus,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Osasco,"Av. Roberto Pinto Sobrinho, 350",-23.490669788951806,-46.77612948633123,Campus,Colocation,https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-capital-campus/
ascenty-sao-paulo-sp5,Ascenty - Sao Paulo SP5,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Osasco,"Avenida Roberto Pinto Sobrinho, 350",-23.4892381,-46.7757703,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp5/
ascenty-sao-paulo-sp6,Ascenty - Sao Paulo SP6,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Osasco,"Av. Roberto Pinto Sobrinho, 350",-23.4906888,-46.7749425,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp6/
ascenty-sao-paulo-sp7,Ascenty - Sao Paulo SP7,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Osasco,within 1 km S/SW of Osasco Campus across SP-270,-23.48473731725123,-46.76933685910062,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp7/
ascenty-sao-paulo-sp8,Ascenty - Sao Paulo SP8,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Osasco,within 1 km S/SW of Osasco Campus across SP-270,-23.48473731725123,-46.76933685910062,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp8/
ascenty-sp4,Ascenty - Sao Paulo SP4,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Osasco,"Avenida Roberto Pinto Sobrinho, 350",-23.4898885,-46.7752556,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/ascenty-sp4/
ascenty-sum03,Ascenty - Sumare SUM3,campinas,ascenty-data-centers,Ascenty Data Centers,Sumaré,"Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)",-22.8139696,-47.2115227,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty-sum03/
ascenty-sum04,Ascenty - Sumare SUM4,campinas,ascenty-data-centers,Ascenty Data Centers,Sumaré,"Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)",-22.8145195,-47.2122186,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty-sum04/
ascenty-sumare-campus,Ascenty Sumare Campus,campinas,ascenty-data-centers,Ascenty Data Centers,Sumaré,"Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)",-22.81398445421749,-47.21224965631805,Campus,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty-sumare-campus/
ascenty-sumare-sum5,Ascenty - Sumare SUM5,campinas,ascenty-data-centers,Ascenty Data Centers,Sumaré,"Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)",-22.8152822,-47.2120903,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty-sumare-sum5/
ascenty-vin02,Ascenty - Vinhedo VIN2,campinas,ascenty-data-centers,Ascenty Data Centers,Vinhedo,"Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani",-23.0703237,-47.0129472,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty-vin02/
ascenty-vinhedo-campus,Ascenty Vinhedo Campus,campinas,ascenty-data-centers,Ascenty Data Centers,Vinhedo,"Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani",-23.070314447734205,-47.01239479446002,Campus,Colocation,https://www.datacentermap.com/brazil/campinas/ascenty-vinhedo-campus/
ativas-datacenter-sa,Sonda Ativas,belo-horizonte,sonda-sa,Sonda S.A.,Belo Horizonte,"Agenério de Araújo st. , 20 Camargos",-19.942833,-44.011552,Facility,Colocation,https://www.datacentermap.com/brazil/belo-horizonte/ativas-datacenter-sa/
av-2-50-quadra-g1,Ascenty - Vinhedo VIN1,campinas,ascenty-data-centers,Ascenty Data Centers,Vinhedo,"Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani",-23.0700044,-47.0118244,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/
av-cel-phidias-távora-513-1,Ascenty - Rio de Janeiro RJ1,rio-de-janeiro,ascenty-data-centers,Ascenty Data Centers,Rio de Janeiro,"Avenida Coronel Phidias Tavora, 513",-22.8059441,-43.3480909,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-1/
av-cel-phidias-távora-513-2,Ascenty- Rio de Janeiro RJ2,rio-de-janeiro,ascenty-data-centers,Ascenty Data Centers,Rio de Janeiro,"R. Mercúrio, 1736",-22.8050847,-43.3484313,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-2/
av-roberto-pinto-sobrinho-350-1,Ascenty - Sao Paulo SP1,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Osasco,"Avenida Roberto Pinto Sobrinho, 350",-23.4920417,-46.7759971,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-1/
av-roberto-pinto-sobrinho-350-2,Ascenty - Sao Paulo SP2,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Osasco,"Avenida Roberto Pinto Sobrinho, 350",-23.4923861,-46.7771987,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-2/
av-roberto-pinto-sobrinho-350-3,Ascenty - Sao Paulo SP3,sao-paulo,ascenty-data-centers,Ascenty Data Centers,Osasco,"Avenida Roberto Pinto Sobrinho, 350",-23.491232,-46.7759313,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/
avato-joinville,Avato Joinville,joinville,avato,Ávato,Joinville,"Av. Santos Dumont, 935 - Santo Antônio",-26.26412048317817,-48.85177190343191,Facility,Colocation,https://www.datacentermap.com/brazil/joinville/avato-joinville/
b3-data-center,B3 Data Center,sao-paulo,b3-sa-brasil-bolsa-balco,"B3 S.A. – Brasil, Bolsa, Balcão",Santana de Parnaiba,"R. Ricardo Prudente de Aquino, 85 - Res. Tambore III",-23.4662448,-46.863993,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/b3-data-center/
brdrive-data-center,BRDrive Data Center,videira,brdrive,BRDrive,Videira,"R. Frederico Bortolaz, 971 - Panazzolo",-27.0019197,-51.16753689999999,Facility,Colocation,https://www.datacentermap.com/brazil/videira/brdrive-data-center/
brdrive-sc-vda,BRDrive - Santa Catarina - VDA,videira,brdrive1,BRDrive,Videira,within Centro,-27.0018484,-51.1675386,Facility,Colocation,https://www.datacentermap.com/brazil/videira/brdrive-sc-vda/
casa-dos-ventos-data-center,Pecém Data Center,fortaleza,casa-dos-ventos,Casa dos Ventos,São Gonçalo do Amarante,Complexo Industrial e Portuário do Pecém,-3.653321,-38.8251428,Facility,Colocation,https://www.datacentermap.com/brazil/fortaleza/casa-dos-ventos-data-center/
cdznet-data-center,CDZNet Data Center,sao-paulo,cdznet-data-center,cdznet data center,Sao Jose do Rio Preto,"R. Independência, 2472",-20.8119075,-49.3886276,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/cdznet-data-center/
century-cem-dc01,Century CEM-DC01,belo-horizonte,century-telecom-ltda,Century Telecom LTDA,Contagem,"José Permínio da Silva st., 80",-19.9305832,-44.0614069,Facility,Colocation,https://www.datacentermap.com/brazil/belo-horizonte/century-cem-dc01/
cirion-cur1,Cirion CUR1,curitiba,cirion,Cirion,Curitiba,"R. do Semeador, 350",-25.4703512,-49.3502146,Facility,Colocation,https://www.datacentermap.com/brazil/curitiba/cirion-cur1/
cirion-rio2,Cirion RIO2,rio-de-janeiro,cirion,Cirion,Rio de Janeiro,"Av. Pedro II, 235",-22.9049036,-43.2159206,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/cirion-rio2/
claro-lapa,Claro Data Center LAPA,sao-paulo,claro,Claro,São Paulo,"R. Aldo de Azevedo, 200 - Vila Madalena",-23.54195739494818,-46.70931247916715,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/claro-lapa/
clickip-datacenters,ClickIP Datacenters,manaus,clickip-datacenters,ClickIP Datacenters,Manaus,"Rua Presidente João Batista Figueiredo, 15",-3.0553292,-59.990585,Facility,Colocation,https://www.datacentermap.com/brazil/manaus/clickip-datacenters/
cloudhq-gig1,CloudHQ GIG1,rio-de-janeiro,cloudhq,CloudHQ,São João de Meriti,"R. Maria Soares Sendas, Parque Barreto",-22.79429627273789,-43.35038030225854,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/cloudhq-gig1/
cloudhq-gru-campus,CloudHQ GRU Campus,campinas,cloudhq,CloudHQ,Paulínia,Parque das Indústrias,-22.77138788859079,-47.10601347144599,Campus,Colocation,https://www.datacentermap.com/brazil/campinas/cloudhq-gru-campus/
cloudhq-gru1,CloudHQ GRU1,campinas,cloudhq,CloudHQ,Paulínia,Parque das Indústrias,-22.7725025,-47.1082519,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/cloudhq-gru1/
cloudhq-gru2,CloudHQ GRU2,campinas,cloudhq,CloudHQ,Paulínia,Parque das Indústrias,-22.773284,-47.1068786,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/cloudhq-gru2/
cloudhq-gru3,CloudHQ GRU3,campinas,cloudhq,CloudHQ,Paulínia,Parque das Indústrias,-22.7716023,-47.104486,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/cloudhq-gru3/
cloudhq-gru4,CloudHQ GRU4,campinas,cloudhq,CloudHQ,Paulínia,Parque das Indústrias,-22.770555,-47.102456,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/cloudhq-gru4/
cloudhq-gru5,CloudHQ GRU5,campinas,cloudhq,CloudHQ,Paulínia,Parque das Indústrias,-22.76951,-47.10069,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/cloudhq-gru5/
cloudhq-gru6,CloudHQ GRU6,campinas,cloudhq,CloudHQ,Paulínia,Parque das Indústrias,-22.768695,-47.101916,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/cloudhq-gru6/
cma,Novvacore Data Center,sao-paulo,cma,Novvacore,Sao Paulo,Rua Professor Filadelfo de Azevedo 712,-23.5877666,-46.6706535,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/cma/
connect-web,Connect Web Data Center,sao-paulo,connect-web,Connect Web,São Paulo,"Av. das Nações Unidas, 12995",-23.6055862,-46.6960933,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/connect-web/
constel-tecnologia-minas,Constel Cascavel Centro,cascavel,constel-tecnologia,Constel Tecnologia,Cascavel,"Rua Minas Gerais, 1932 - Centro",-24.9480313,-53.4498304,Facility,Colocation,https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-minas/
constel-tecnologia-para,Constel Cascavel Country,cascavel,constel-tecnologia,Constel Tecnologia,Cascavel,"Rua Pará, 812 - Country",-24.9393548,-53.4416307,Facility,Colocation,https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-para/
contato-cloud,Contato Data Center,ararangu,contato-cloud,Contato Data Center,Araranguá,"Rua Doutor Américo Cavalcante Rabello, 241",-28.9420155,-49.4979287,Facility,Colocation,https://www.datacentermap.com/brazil/ararangu/contato-cloud/
convex-idc-rpo,Convex IDC Ribeirão Preto,ribeirao-preto,convex-internet-solutions,Convex Internet Solutions,Ribeirao Preto,"R. Bernardino de Campos, 1001",-21.1852257,-47.8081915,Facility,Colocation,https://www.datacentermap.com/brazil/ribeirao-preto/convex-idc-rpo/
cope-p,COPE-P Brasilia,brasilia,telebras,Telebras,Brasília,St. de Habitações Individuais Sul,-15.85834223206172,-47.89905002324178,Facility,Government,https://www.datacentermap.com/brazil/brasilia/cope-p/
cope-s,COPE-S Rio de Janeiro,rio-de-janeiro,telebras,Telebras,Rio de Janeiro,Rua Américo Goulart - Cacuia,-22.82647149440208,-43.17830367112702,Facility,Government,https://www.datacentermap.com/brazil/rio-de-janeiro/cope-s/
cwbhn-01,CWB-HN 01,curitiba,hosting-now,Hosting Now,Curitiba,Rua Brasílio Itiberê 2217,-25.44583383579607,-49.26575676773692,Facility,Colocation,https://www.datacentermap.com/brazil/curitiba/cwbhn-01/
datacenter-locaweb-itapaiuna,Locaweb Data Center Itapaiuna,sao-paulo,locaweb-sa,Locaweb S/A,Sao Paulo,"Rua Itapaiuna, 2434",-23.6416742,-46.7288851,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-itapaiuna/
datacenter-locaweb-jk,Locaweb Data Center JK,sao-paulo,locaweb-sa,Locaweb S/A,São Paulo,"Av. Presidente Juscelino Kubitscheck, 1830 1º Andar",-23.5910194,-46.6866995,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-jk/
dc-coracao-do-rio-grande,Avato Santa Maria,santa-maria,avato,Ávato,Santa Maria,"Av. Fernando Ferrari, 1280 - Nossa Sra. de Lourdes",-29.6957946,-53.7978236,Facility,Colocation,https://www.datacentermap.com/brazil/santa-maria/dc-coracao-do-rio-grande/
dc-ultranet-telecom,Ultranet Telecom DC Fortaleza,fortaleza,ultranet-telecom,Ultranet Telecom,Fortaleza,"Av. Santos Dumont, 2122",-3.7344285,-38.5049194,Facility,Colocation,https://www.datacentermap.com/brazil/fortaleza/dc-ultranet-telecom/
dc-ultranet-telecom1,Ultranet Telecom DC Centro,rio-de-janeiro,ultranet-telecom,Ultranet Telecom,Centro,"Av. Pres. Vargas, 3131",-22.9101794,-43.2044016,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/dc-ultranet-telecom1/
dsi-pae-a01,DSI - PAE-A01,porto-alegre,dsi-internet,DSI Internet,Porto Alegre,"R. Mostardeiro, 265 - Rio Branco",-30.0290429,-51.2045037,Facility,Colocation,https://www.datacentermap.com/brazil/porto-alegre/dsi-pae-a01/
edge-connection--cps01,Edge Connection - CPS01,campinas,edge-connection,Edge Connection,Campinas,"Rua Angelo Sellin, 401",-22.8148445,-47.0287932,Facility,Colocation,https://www.datacentermap.com/brazil/campinas/edge-connection--cps01/
elea-bel1,Elea BEL1,belem,elea-digital,Elea Data Centers,Belém,"508, Passagem Belo Horizonte, 256 - Barreiro",-1.41264568658525,-48.48808399344105,Facility,Colocation,https://www.datacentermap.com/brazil/belem/elea-bel1/
elea-digital-bsb1,Elea BSB1,brasilia,elea-digital,Elea Data Centers,Brasilia,Scn Q 3,-15.7883222,-47.8855136,Facility,Colocation,https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb1/
elea-digital-bsb2,Elea BSB2,brasilia,elea-digital,Elea Data Centers,Brasilia,Sig Q 2,-15.7894869,-47.9115011,Facility,Colocation,https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb2/
elea-digital-cta1,Elea CTA1,curitiba,elea-digital,Elea Data Centers,Curitiba,Tv. Teixeira de Freitas 73,-25.4247684,-49.2811411,Facility,Colocation,https://www.datacentermap.com/brazil/curitiba/elea-digital-cta1/
elea-digital-poa1,Elea POA1,porto-alegre,elea-digital,Elea Data Centers,Porto Alegre,Rua Engenheiro Afonso Cavalcanti 100,-30.0344071,-51.1911759,Facility,Colocation,https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa1/
elea-digital-poa2,Elea POA2,porto-alegre,elea-digital,Elea Data Centers,Porto Alegre,R. Voluntários da Pátria 1555,-30.0204138,-51.214324,Facility,Colocation,https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa2/
elea-digital-rjo1,Elea RJO1,rio-de-janeiro,elea-digital,Elea Data Centers,Rio de Janeiro,R. Vargem Grande 100,-22.9683248,-43.3805263,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/elea-digital-rjo1/
elea-digital-spo1,Elea SPO1,sao-paulo,elea-digital,Elea Data Centers,Sao Paulo,Av. Guido Caloi 1000,-23.6518054,-46.7261678,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo1/
elea-digital-spo2,Elea SPO2,sao-paulo,elea-digital,Elea Data Centers,São Bernardo do Campo,"Av. Marginal Direita Anchieta, 1241",-23.6774468,-46.5725548,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo2/
elea-digital-spo3,Elea SPO3,sao-paulo,elea-digital,Elea Data Centers,Barueri,"Al. Rio Negro, 530",-23.5013594,-46.8473233,Facility,Colocation,https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo3/
elea-rjo2,Elea RJO2,rio-de-janeiro,elea-digital,Elea Data Centers,Rio de Janeiro,"Est. Arroio Pavuna, 1993-1787",-22.96681659168444,-43.38080634198599,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/elea-rjo2/
elea-rjo3,Elea RJO3,rio-de-janeiro,elea-digital,Elea Data Centers,Rio de Janeiro,"Est. Arroio Pavuna, 1464-1786",-22.96527862278515,-43.38160795485794,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/elea-rjo3/
elea-rjo4,Elea RJO4,rio-de-janeiro,elea-digital,Elea Data Centers,Rio de Janeiro,"Est. Arroio Pavuna, 1464-1786",-22.96352534540635,-43.38217515289966,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/elea-rjo4/
enegix-piau,Enegix Piauí,parnaiba,enegix,Enegix,Parnaíba,within ZPE Parnaíba,-2.956195978406484,-41.76979620360595,Facility,Enterprise,https://www.datacentermap.com/brazil/parnaiba/enegix-piau/
engetronics-brasilia,Engetronics Brasilia,brasilia,engetronics-internet-datacenter,ENGETRONICS INTERNET DATACENTER,Brasilia,"Setor Hoteleiro Norte, Qd 2 Bl H",-15.7892783,-47.8863236,Facility,Colocation,https://www.datacentermap.com/brazil/brasilia/engetronics-brasilia/
equinix-rj1,Equinix RJ1,rio-de-janeiro,equinix,Equinix,Rio de Janeiro,"Rua Voluntarios da Patria, 360, Botafogo",-22.95490599063348,-43.19455146789551,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj1/
equinix-rj2,Equinix RJ2,rio-de-janeiro,equinix,Equinix,Rio de Janeiro,"Estrada Adhemar Bebiano, 1380, Del Castilho",-22.87137100666576,-43.2732367515564,Facility,Colocation,https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj2/
