aoi_id;operadora;cidade;latitude_aoi;longitude_aoi;latitude_municipio;longitude_municipio;distancia_km;inclinacao_graus;similar_rank;id_municipio_similar;municipio_similar;latitude_similar;longitude_similar;ponto_num;ponto_inclinacao_graus;ponto_latitude;ponto_longitude;candidato_id
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;2;3548807;São Caetano do Sul (SP);-23.6217;-46.551062;3;120.0;-23.66269;-46.473512;ascenty-data-centers-jundiai_sim2_p3
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;2;3548807;São Caetano do Sul (SP);-23.6217;-46.551062;4;180.0;-23.703718;-46.551062;ascenty-data-centers-jundiai_sim2_p4
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;2;3548807;São Caetano do Sul (SP);-23.6217;-46.551062;5;240.0;-23.66269;-46.628612;ascenty-data-centers-jundiai_sim2_p5
ascenty-data-centers-jundiai;Ascenty Data Centers;Jundiaí;-23.1924667;-46.9729886;-23.185054;-46.884119;9.12;264.8;2;3548807;São Caetano do Sul (SP);-23.6217;-46.551062;6;300.0;-23.580672;-46.628563;ascenty-data-centers-jundiai_sim2_p6
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;1;3525904;Jundiaí (SP);-23.185054;-46.884119;1;0.0;-23.141887;-46.884119;ascenty-data-centers-osasco_sim1_p1
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;1;3525904;Jundiaí (SP);-23.185054;-46.884119;2;60.0;-23.163465;-46.843457;ascenty-data-centers-osasco_sim1_p2
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;1;3525904;Jundiaí (SP);-23.185054;-46.884119;3;120.0;-23.206632;-46.843444;ascenty-data-centers-osasco_sim1_p3
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;1;3525904;Jundiaí (SP);-23.185054;-46.884119;4;180.0;-23.228221;-46.884119;ascenty-data-centers-osasco_sim1_p4
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;1;3525904;Jundiaí (SP);-23.185054;-46.884119;5;240.0;-23.206632;-46.924794;ascenty-data-centers-osasco_sim1_p5
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;1;3525904;Jundiaí (SP);-23.185054;-46.884119;6;300.0;-23.163465;-46.924781;ascenty-data-centers-osasco_sim1_p6
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;2;3548500;Santos (SP);-23.959464;-46.333562;1;0.0;-23.916297;-46.333562;ascenty-data-centers-osasco_sim2_p1
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;2;3548500;Santos (SP);-23.959464;-46.333562;2;60.0;-23.937875;-46.29266;ascenty-data-centers-osasco_sim2_p2
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;2;3548500;Santos (SP);-23.959464;-46.333562;3;120.0;-23.981042;-46.292646;ascenty-data-centers-osasco_sim2_p3
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;2;3548500;Santos (SP);-23.959464;-46.333562;4;180.0;-24.002631;-46.333562;ascenty-data-centers-osasco_sim2_p4
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;2;3548500;Santos (SP);-23.959464;-46.333562;5;240.0;-23.981042;-46.374478;ascenty-data-centers-osasco_sim2_p5
ascenty-data-centers-osasco;Ascenty Data Centers;Osasco;-23.49056025;-46.77559345;-23.531148;-46.791619;4.8;19.91;2;3548500;Santos (SP);-23.959464;-46.333562;6;300.0;-23.937875;-46.374464;ascenty-data-centers-osasco_sim2_p6
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;1;3527306;Louveira (SP);-23.085057;-46.950508;1;0.0;-23.043868;-46.950508;ascenty-data-centers-paulinia_sim1_p1
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;1;3527306;Louveira (SP);-23.085057;-46.950508;2;60.0;-23.064458;-46.911738;ascenty-data-centers-paulinia_sim1_p2
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;1;3527306;Louveira (SP);-23.085057;-46.950508;3;120.0;-23.105647;-46.911726;ascenty-data-centers-paulinia_sim1_p3
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;1;3527306;Louveira (SP);-23.085057;-46.950508;4;180.0;-23.126246;-46.950508;ascenty-data-centers-paulinia_sim1_p4
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;1;3527306;Louveira (SP);-23.085057;-46.950508;5;240.0;-23.105647;-46.98929;ascenty-data-centers-paulinia_sim1_p5
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;1;3527306;Louveira (SP);-23.085057;-46.950508;6;300.0;-23.064458;-46.989278;ascenty-data-centers-paulinia_sim1_p6
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;2;3161908;São Gonçalo do Rio Abaixo (MG);-19.831801;-43.34804;1;0.0;-19.790612;-43.34804;ascenty-data-centers-paulinia_sim2_p1
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;2;3161908;São Gonçalo do Rio Abaixo (MG);-19.831801;-43.34804;2;60.0;-19.811203;-43.310125;ascenty-data-centers-paulinia_sim2_p2
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;2;3161908;São Gonçalo do Rio Abaixo (MG);-19.831801;-43.34804;3;120.0;-19.852391;-43.310116;ascenty-data-centers-paulinia_sim2_p3
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;2;3161908;São Gonçalo do Rio Abaixo (MG);-19.831801;-43.34804;4;180.0;-19.87299;-43.34804;ascenty-data-centers-paulinia_sim2_p4
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;2;3161908;São Gonçalo do Rio Abaixo (MG);-19.831801;-43.34804;5;240.0;-19.852391;-43.385964;ascenty-data-centers-paulinia_sim2_p5
ascenty-data-centers-paulinia;Ascenty Data Centers;Paulínia;-22.7970795;-47.1352301;-22.759795;-47.15412;4.58;154.97;2;3161908;São Gonçalo do Rio Abaixo (MG);-19.831801;-43.34804;6;300.0;-19.811203;-43.385955;ascenty-data-centers-paulinia_sim2_p6
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;1;3106200;Belo Horizonte (MG);-19.815779;-43.95631;1;0.0;-19.683579;-43.95631;ascenty-data-centers-rio-de-janeiro_sim1_p1
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;1;3106200;Belo Horizonte (MG);-19.815779;-43.95631;2;60.0;-19.749638;-43.834666;ascenty-data-centers-rio-de-janeiro_sim1_p2
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;1;3106200;Belo Horizonte (MG);-19.815779;-43.95631;3;120.0;-19.881838;-43.834565;ascenty-data-centers-rio-de-janeiro_sim1_p3
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;1;3106200;Belo Horizonte (MG);-19.815779;-43.95631;4;180.0;-19.947979;-43.95631;ascenty-data-centers-rio-de-janeiro_sim1_p4
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;1;3106200;Belo Horizonte (MG);-19.815779;-43.95631;5;240.0;-19.881838;-44.078055;ascenty-data-centers-rio-de-janeiro_sim1_p5
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;1;3106200;Belo Horizonte (MG);-19.815779;-43.95631;6;300.0;-19.749638;-44.077954;ascenty-data-centers-rio-de-janeiro_sim1_p6
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;2;3518800;Guarulhos (SP);-23.461429;-46.533285;1;0.0;-23.329229;-46.533285;ascenty-data-centers-rio-de-janeiro_sim2_p1
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;2;3518800;Guarulhos (SP);-23.461429;-46.533285;2;60.0;-23.395279;-46.408541;ascenty-data-centers-rio-de-janeiro_sim2_p2
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;2;3518800;Guarulhos (SP);-23.461429;-46.533285;3;120.0;-23.527479;-46.408416;ascenty-data-centers-rio-de-janeiro_sim2_p3
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;2;3518800;Guarulhos (SP);-23.461429;-46.533285;4;180.0;-23.593629;-46.533285;ascenty-data-centers-rio-de-janeiro_sim2_p4
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;2;3518800;Guarulhos (SP);-23.461429;-46.533285;5;240.0;-23.527479;-46.658154;ascenty-data-centers-rio-de-janeiro_sim2_p5
ascenty-data-centers-rio-de-janeiro;Ascenty Data Centers;Rio de Janeiro;-22.8050847;-43.3484313;-22.876652;-43.227875;14.7;302.76;2;3518800;Guarulhos (SP);-23.461429;-46.533285;6;300.0;-23.395279;-46.658029;ascenty-data-centers-rio-de-janeiro_sim2_p6
ascenty-data-centers-sumare;Ascenty Data Centers;Sumaré;-22.8138615;-47.2133634;-22.820902;-47.267176;5.57;81.93;1;3520509;Indaiatuba (SP);-23.088945;-47.21801;1;0.0;-23.038853;-47.21801;ascenty-data-centers-sumare_sim1_p1
ascenty-data-centers-sumare;Ascenty Data Centers;Sumaré;-22.8138615;-47.2133634;-22.820902;-47.267176;5.57;81.93;1;3520509;Indaiatuba (SP);-23.088945;-47.21801;2;60.0;-23.063892;-47.17086;ascenty-data-centers-sumare_sim1_p2
ascenty-data-centers-sumare;Ascenty Data Centers;Sumaré;-22.8138615;-47.2133634;-22.820902;-47.267176;5.57;81.93;1;3520509;Indaiatuba (SP);-23.088945;-47.21801;3;120.0;-23.113984;-47.170843;ascenty-data-centers-sumare_sim1_p3
ascenty-data-centers-sumare;Ascenty Data Centers;Sumaré;-22.8138615;-47.2133634;-22.820902;-47.267176;5.57;81.93;1;3520509;Indaiatuba (SP);-23.088945;-47.21801;4;180.0;-23.139037;-47.21801;ascenty-data-centers-sumare_sim1_p4
ascenty-data-centers-sumare;Ascenty Data Centers;Sumaré;-22.8138615;-47.2133634;-22.820902;-47.267176;5.57;81.93;1;3520509;Indaiatuba (SP);-23.088945;-47.21801;5;240.0;-23.113984;-47.265177;ascenty-data-centers-sumare_sim1_p5
