destino;site_id;ano;sensor;prop_vegetacao_densa;prop_vegetacao_rala;prop_solo_exposto_obras;prop_construida_urbana;prop_agua;pct_pixels_validos
candidato;asap-telecom-sao-paulo_sim2_p2;2016;landsat;0.287479;0.644597;0.003021;0.059979;0.004924;100.0
candidato;asap-telecom-sao-paulo_sim2_p2;2017;landsat;0.387282;0.542131;0.002985;0.062561;0.005041;100.0
candidato;asap-telecom-sao-paulo_sim2_p2;2018;landsat;0.378068;0.551211;0.002467;0.06274;0.005514;100.0
candidato;asap-telecom-sao-paulo_sim2_p3;2016;landsat;0.469741;0.397526;0.0058;0.123957;0.002976;99.9991
candidato;asap-telecom-sao-paulo_sim2_p3;2017;landsat;0.520031;0.342582;0.006598;0.127643;0.003146;99.9973
candidato;asap-telecom-sao-paulo_sim2_p3;2018;landsat;0.518297;0.351329;0.004715;0.122234;0.003425;99.9928
candidato;asap-telecom-sao-paulo_sim2_p4;2016;landsat;0.173384;0.281444;0.006496;0.536351;0.002326;100.0
candidato;asap-telecom-sao-paulo_sim2_p4;2017;landsat;0.1875;0.269283;0.007414;0.533344;0.002459;99.9991
candidato;asap-telecom-sao-paulo_sim2_p4;2018;landsat;0.193976;0.270035;0.005284;0.530072;0.000633;99.9911
candidato;asap-telecom-sao-paulo_sim2_p5;2016;landsat;0.162166;0.421167;0.017886;0.386518;0.012263;99.9884
candidato;asap-telecom-sao-paulo_sim2_p5;2017;landsat;0.166805;0.391827;0.021297;0.406944;0.013128;99.9162
candidato;asap-telecom-sao-paulo_sim2_p5;2018;landsat;0.194781;0.38756;0.016828;0.384388;0.016443;99.7104
candidato;asap-telecom-sao-paulo_sim2_p6;2016;landsat;0.242147;0.530487;0.005361;0.214672;0.007333;100.0
candidato;asap-telecom-sao-paulo_sim2_p6;2017;landsat;0.302338;0.460199;0.005029;0.224313;0.008122;99.9982
candidato;asap-telecom-sao-paulo_sim2_p6;2018;landsat;0.260708;0.510623;0.004168;0.216953;0.007548;99.9982
candidato;ascenty-data-centers-hortolandia_sim1_p1;2015;landsat;0.09697;0.576079;0.012228;0.284831;0.029892;99.9821
candidato;ascenty-data-centers-hortolandia_sim1_p1;2016;landsat;0.169537;0.508504;0.012971;0.278444;0.030543;99.8391
candidato;ascenty-data-centers-hortolandia_sim1_p1;2017;landsat;0.118268;0.565207;0.008723;0.276861;0.030941;100.0
candidato;ascenty-data-centers-hortolandia_sim1_p2;2015;landsat;0.070717;0.460449;0.009966;0.456526;0.002342;99.9929
candidato;ascenty-data-centers-hortolandia_sim1_p2;2016;landsat;0.078815;0.447516;0.009822;0.461421;0.002426;99.823
candidato;ascenty-data-centers-hortolandia_sim1_p2;2017;landsat;0.065144;0.460845;0.009223;0.462606;0.002181;100.0
candidato;ascenty-data-centers-hortolandia_sim1_p3;2015;landsat;0.189842;0.647513;0.003568;0.152094;0.006983;100.0
candidato;ascenty-data-centers-hortolandia_sim1_p3;2016;landsat;0.196927;0.637486;0.003608;0.154601;0.007377;99.8799
candidato;ascenty-data-centers-hortolandia_sim1_p3;2017;landsat;0.169843;0.661202;0.002797;0.159122;0.007037;100.0
candidato;ascenty-data-centers-hortolandia_sim1_p4;2015;landsat;0.262855;0.623274;0.001784;0.096122;0.015965;100.0
candidato;ascenty-data-centers-hortolandia_sim1_p4;2016;landsat;0.319749;0.563586;0.002662;0.097606;0.016396;99.9946
candidato;ascenty-data-centers-hortolandia_sim1_p4;2017;landsat;0.238965;0.642054;0.001452;0.100739;0.01679;100.0
candidato;ascenty-data-centers-hortolandia_sim1_p5;2015;landsat;0.129382;0.624618;0.005092;0.223481;0.017427;99.9973
candidato;ascenty-data-centers-hortolandia_sim1_p5;2016;landsat;0.255858;0.529789;0.006374;0.189449;0.01853;99.9946
candidato;ascenty-data-centers-hortolandia_sim1_p5;2017;landsat;0.128393;0.644331;0.004948;0.203978;0.01835;100.0
candidato;ascenty-data-centers-hortolandia_sim1_p6;2015;landsat;0.096832;0.649892;0.010315;0.220105;0.022856;99.9857
