id_municipio,nome_municipio,sigla_uf,regiao,populacao,pib_per_capita,pct_va_servicos,pct_va_industria,pct_va_agropecuaria,pct_impostos,id_municipio_similar_1,municipio_similar_1,percentual_similaridade_1,id_municipio_similar_2,municipio_similar_2,percentual_similaridade_2,id_municipio_similar_3,municipio_similar_3,percentual_similaridade_3
3514601,Dumont,SP,Sudeste,9761.0,27926.233333333337,0.4076166666666667,0.23651666666666668,0.08725,0.1193,3201407,Castelo (ES),89.04,3532405,Nazaré Paulista (SP),78.35,3531308,Monte Alto (SP),77.51
3514700,Echaporã,SP,Sudeste,6143.5,21689.061666666665,0.3843666666666667,0.05706666666666666,0.3022833333333333,0.042833333333333334,3526100,Juquiá (SP),91.52,3503406,Arealva (SP),88.89,3540101,Pongaí (SP),87.72
3514809,Eldorado,SP,Sudeste,15482.833333333334,20152.826666666668,0.26994999999999997,0.043250000000000004,0.4465666666666667,0.027116666666666667,3157906,Santa Margarida (MG),86.39,3544400,Rubiácea (SP),83.99,3503109,Arandu (SP),81.74
3514908,Elias Fausto,SP,Sudeste,17673.5,43498.700000000004,0.3096,0.3387166666666667,0.11888333333333334,0.12853333333333333,3130200,Igaratinga (MG),82.42,3556909,Vista Alegre do Alto (SP),78.71,3525854,Jumirim (SP),77.45
3514924,Elisiário,SP,Sudeste,3620.8333333333335,18734.65166666667,0.3832333333333333,0.06075,0.22093333333333334,0.048499999999999995,3102001,Alterosa (MG),89.45,3101201,Aiuruoca (MG),89.02,3556958,Vitória Brasil (SP),88.73
3514957,Embaúba,SP,Sudeste,2459.6666666666665,22136.929999999997,0.3075833333333333,0.10733333333333334,0.26971666666666666,0.030083333333333333,3530003,Mira Estrela (SP),83.17,3515905,Floreal (SP),82.58,3501509,Alvinlândia (SP),82.09
3515004,Embu das Artes,SP,Sudeste,271978.3333333333,47457.64166666666,0.6092166666666666,0.11488333333333334,0.0,0.20011666666666664,3133600,Itapeva (MG),62.72,3522505,Itapevi (SP),61.18,3152501,Pouso Alegre (MG),57.94
3515103,Embu-Guaçu,SP,Sudeste,69100.33333333333,17032.615,0.4481833333333333,0.19293333333333332,0.0018333333333333333,0.13175,3304144,Queimados (RJ),76.46,3501301,Álvares Machado (SP),76.31,3537107,Pedreira (SP),75.67
3515129,Emilianópolis,SP,Sudeste,3210.6666666666665,20414.913333333334,0.29446666666666665,0.0722,0.31215,0.027066666666666666,3554607,Timburi (SP),88.28,3544707,Sagres (SP),88.18,3523701,Itirapuã (SP),87.08
3515152,Engenheiro Coelho,SP,Sudeste,20429.0,28212.703333333335,0.49123333333333336,0.19843333333333332,0.054683333333333334,0.10893333333333333,3139409,Manhuaçu (MG),88.17,3546801,Santa Isabel (SP),87.65,3549706,São José do Rio Pardo (SP),84.58
3515186,Espírito Santo do Pinhal,SP,Sudeste,44300.0,35281.91166666667,0.47523333333333334,0.25508333333333333,0.06536666666666667,0.09588333333333333,3502101,Andradina (SP),85.6,3530508,Mococa (SP),83.71,3549409,São Joaquim da Barra (SP),83.64
3515194,Espírito Santo do Turvo,SP,Sudeste,4798.833333333333,16784.676666666666,0.3229666666666667,0.054650000000000004,0.2699833333333333,0.05056666666666667,3203700,Muniz Freire (ES),91.38,3122405,Divisa Nova (MG),90.34,3542800,Ribeira (SP),89.12
3515202,Estrela d'Oeste,SP,Sudeste,8434.333333333334,78764.87166666666,0.3452,0.42183333333333334,0.0658,0.10941666666666666,3517406,Guaíra (SP),79.18,3529609,Meridiano (SP),76.78,3534203,Orindiúva (SP),73.13
3515301,Estrela do Norte,SP,Sudeste,2767.6666666666665,22547.90166666667,0.25123333333333336,0.10468333333333334,0.31321666666666664,0.03465,3532058,Motuca (SP),86.25,3119708,Coronel Xavier Chaves (MG),85.6,3150307,Piedade do Rio Grande (MG),83.3
