nome_datacenter;latitude_datacenter;longitude_datacenter;latitude_municipio;longitude_municipio;latitude_similar;longitude_similar;distancia_km;inclinacao_graus;ponto_num;ponto_inclinacao_graus;ponto_latitude;ponto_longitude
IPXON Sao Paulo;-23.4920457;-46.7760135;-23.531148;-46.791619;-23.185054;-46.884119;4.63;20.1;6;300.0;-23.16423;-46.923341
Quântico Data Center;-29.9040072;-51.1283808;-29.916158;-51.1836;-25.093574;-50.161921;5.49;75.77;1;0.0;-25.044201;-50.161921
Quântico Data Center;-29.9040072;-51.1283808;-29.916158;-51.1836;-25.093574;-50.161921;5.49;75.77;2;60.0;-25.06888;-50.114716
Quântico Data Center;-29.9040072;-51.1283808;-29.916158;-51.1836;-25.093574;-50.161921;5.49;75.77;3;120.0;-25.118253;-50.114697
Quântico Data Center;-29.9040072;-51.1283808;-29.916158;-51.1836;-25.093574;-50.161921;5.49;75.77;4;180.0;-25.142947;-50.161921
Quântico Data Center;-29.9040072;-51.1283808;-29.916158;-51.1836;-25.093574;-50.161921;5.49;75.77;5;240.0;-25.118253;-50.209145
Quântico Data Center;-29.9040072;-51.1283808;-29.916158;-51.1836;-25.093574;-50.161921;5.49;75.77;6;300.0;-25.06888;-50.209126
Ascenty - Paulinia PLN1;-22.7970795;-47.1352301;-22.759795;-47.15412;-23.085057;-46.950508;4.58;154.97;1;0.0;-23.043868;-46.950508
Ascenty - Paulinia PLN1;-22.7970795;-47.1352301;-22.759795;-47.15412;-23.085057;-46.950508;4.58;154.97;2;60.0;-23.064458;-46.911738
Ascenty - Paulinia PLN1;-22.7970795;-47.1352301;-22.759795;-47.15412;-23.085057;-46.950508;4.58;154.97;3;120.0;-23.105647;-46.911726
Ascenty - Paulinia PLN1;-22.7970795;-47.1352301;-22.759795;-47.15412;-23.085057;-46.950508;4.58;154.97;4;180.0;-23.126246;-46.950508
Ascenty - Paulinia PLN1;-22.7970795;-47.1352301;-22.759795;-47.15412;-23.085057;-46.950508;4.58;154.97;5;240.0;-23.105647;-46.98929
Ascenty - Paulinia PLN1;-22.7970795;-47.1352301;-22.759795;-47.15412;-23.085057;-46.950508;4.58;154.97;6;300.0;-23.064458;-46.989278
Ascenty - Sumare SUM2;-22.8138615;-47.2133634;-22.820902;-47.267176;-23.088945;-47.21801;5.57;81.93;1;0.0;-23.038853;-47.21801
Ascenty - Sumare SUM2;-22.8138615;-47.2133634;-22.820902;-47.267176;-23.088945;-47.21801;5.57;81.93;2;60.0;-23.063892;-47.17086
Ascenty - Sumare SUM2;-22.8138615;-47.2133634;-22.820902;-47.267176;-23.088945;-47.21801;5.57;81.93;3;120.0;-23.113984;-47.170843
Ascenty - Sumare SUM2;-22.8138615;-47.2133634;-22.820902;-47.267176;-23.088945;-47.21801;5.57;81.93;4;180.0;-23.139037;-47.21801
Ascenty - Sumare SUM2;-22.8138615;-47.2133634;-22.820902;-47.267176;-23.088945;-47.21801;5.57;81.93;5;240.0;-23.113984;-47.265177
Ascenty - Sumare SUM2;-22.8138615;-47.2133634;-22.820902;-47.267176;-23.088945;-47.21801;5.57;81.93;6;300.0;-23.063892;-47.26516
Ascenty - Hortolandia HTL2;-22.8949687;-47.1794405;-22.858395;-47.221097;-23.303938;-45.96578;5.9;133.63;1;0.0;-23.250878;-45.96578
Ascenty - Hortolandia HTL2;-22.8949687;-47.1794405;-22.858395;-47.221097;-23.303938;-45.96578;5.9;133.63;2;60.0;-23.2774;-45.915757
Ascenty - Hortolandia HTL2;-22.8949687;-47.1794405;-22.858395;-47.221097;-23.303938;-45.96578;5.9;133.63;3;120.0;-23.33046;-45.915737
Ascenty - Hortolandia HTL2;-22.8949687;-47.1794405;-22.858395;-47.221097;-23.303938;-45.96578;5.9;133.63;4;180.0;-23.356998;-45.96578
Ascenty - Hortolandia HTL2;-22.8949687;-47.1794405;-22.858395;-47.221097;-23.303938;-45.96578;5.9;133.63;5;240.0;-23.33046;-46.015823
Ascenty - Hortolandia HTL2;-22.8949687;-47.1794405;-22.858395;-47.221097;-23.303938;-45.96578;5.9;133.63;6;300.0;-23.2774;-46.015803
Ascenty - Hortolandia HTL3;-22.8942092;-47.1797024;-22.858395;-47.221097;-23.303938;-45.96578;5.82;133.21;1;0.0;-23.251597;-45.96578
Ascenty - Hortolandia HTL3;-22.8942092;-47.1797024;-22.858395;-47.221097;-23.303938;-45.96578;5.82;133.21;2;60.0;-23.27776;-45.916435
Ascenty - Hortolandia HTL3;-22.8942092;-47.1797024;-22.858395;-47.221097;-23.303938;-45.96578;5.82;133.21;3;120.0;-23.330101;-45.916416
Ascenty - Hortolandia HTL3;-22.8942092;-47.1797024;-22.858395;-47.221097;-23.303938;-45.96578;5.82;133.21;4;180.0;-23.356279;-45.96578
Ascenty - Hortolandia HTL3;-22.8942092;-47.1797024;-22.858395;-47.221097;-23.303938;-45.96578;5.82;133.21;5;240.0;-23.330101;-46.015144
Ascenty - Hortolandia HTL3;-22.8942092;-47.1797024;-22.858395;-47.221097;-23.303938;-45.96578;5.82;133.21;6;300.0;-23.27776;-46.015125
