ano,mes,uf,nome_uf,regiao,tipo_consumo,consumo,numero_consumidores
2006,7,DF,Distrito Federal,Centro-Oeste,Residencial,126127,640322
2006,7,DF,Distrito Federal,Centro-Oeste,Total,341656,
2006,8,DF,Distrito Federal,Centro-Oeste,Cativo,326292,
2006,8,DF,Distrito Federal,Centro-Oeste,Comercial,95952,78774
2006,8,DF,Distrito Federal,Centro-Oeste,Industrial,37258,1594
2006,8,DF,Distrito Federal,Centro-Oeste,Outros,85275,13122
2006,8,DF,Distrito Federal,Centro-Oeste,Residencial,133901,642861
2006,8,DF,Distrito Federal,Centro-Oeste,Total,352386,
2006,9,DF,Distrito Federal,Centro-Oeste,Cativo,354831,
2006,9,DF,Distrito Federal,Centro-Oeste,Comercial,107931,79172
2006,9,DF,Distrito Federal,Centro-Oeste,Industrial,41291,1594
2006,9,DF,Distrito Federal,Centro-Oeste,Outros,93125,13066
2006,9,DF,Distrito Federal,Centro-Oeste,Residencial,141728,646067
2006,9,DF,Distrito Federal,Centro-Oeste,Total,384076,
2006,10,DF,Distrito Federal,Centro-Oeste,Cativo,339318,
2006,10,DF,Distrito Federal,Centro-Oeste,Comercial,103906,78534
2006,10,DF,Distrito Federal,Centro-Oeste,Industrial,39914,1586
2006,10,DF,Distrito Federal,Centro-Oeste,Outros,85561,13138
2006,10,DF,Distrito Federal,Centro-Oeste,Residencial,138189,646560
2006,10,DF,Distrito Federal,Centro-Oeste,Total,367571,
2006,11,DF,Distrito Federal,Centro-Oeste,Cativo,352492,
2006,11,DF,Distrito Federal,Centro-Oeste,Comercial,109404,78616
2006,11,DF,Distrito Federal,Centro-Oeste,Industrial,39494,1580
2006,11,DF,Distrito Federal,Centro-Oeste,Outros,86821,13121
2006,11,DF,Distrito Federal,Centro-Oeste,Residencial,143727,648217
2006,11,DF,Distrito Federal,Centro-Oeste,Total,379446,
2006,12,DF,Distrito Federal,Centro-Oeste,Cativo,342338,
2006,12,DF,Distrito Federal,Centro-Oeste,Comercial,106997,78699
2006,12,DF,Distrito Federal,Centro-Oeste,Industrial,38658,1583
2006,12,DF,Distrito Federal,Centro-Oeste,Outros,89675,13228
2006,12,DF,Distrito Federal,Centro-Oeste,Residencial,133269,650036
2006,12,DF,Distrito Federal,Centro-Oeste,Total,368599,
2007,1,DF,Distrito Federal,Centro-Oeste,Cativo,337831,
2007,1,DF,Distrito Federal,Centro-Oeste,Comercial,106339,78786
2007,1,DF,Distrito Federal,Centro-Oeste,Industrial,36851,1644
2007,1,DF,Distrito Federal,Centro-Oeste,Outros,82718,13223
2007,1,DF,Distrito Federal,Centro-Oeste,Residencial,136787,651906
2007,1,DF,Distrito Federal,Centro-Oeste,Total,362695,
2007,2,DF,Distrito Federal,Centro-Oeste,Cativo,333767,
2007,2,DF,Distrito Federal,Centro-Oeste,Comercial,106451,79383
2007,2,DF,Distrito Federal,Centro-Oeste,Industrial,34149,1605
2007,2,DF,Distrito Federal,Centro-Oeste,Outros,83342,13553
2007,2,DF,Distrito Federal,Centro-Oeste,Residencial,132012,655546
2007,2,DF,Distrito Federal,Centro-Oeste,Total,355954,
2007,3,DF,Distrito Federal,Centro-Oeste,Cativo,342476,
2007,3,DF,Distrito Federal,Centro-Oeste,Comercial,103453,79706
