cnpj_distribuidora,ano,sigla_distribuidora,consumo_kwh
9095183000140,2016,EPB,4254619477.0
9095183000140,2017,EPB,4304478791.0
9095183000140,2018,EPB,4399106081.0
9095183000140,2019,EPB,4427764203.0
9095183000140,2020,EPB,4354172159.0
9095183000140,2021,EPB,4487641288.0
9095183000140,2022,EPB,4496507316.0
9095183000140,2023,EPB,4922486227.0
9257558000121,2010,CERTEL ENERGIA,141394790.0
9257558000121,2011,CERTEL ENERGIA,299695324.0
9257558000121,2012,CERTEL ENERGIA,322784359.0
9257558000121,2013,CERTEL ENERGIA,328193321.0
9257558000121,2014,CERTEL ENERGIA,361522959.0
9257558000121,2015,CERTEL ENERGIA,362171206.0
9257558000121,2016,CERTEL ENERGIA,374752275.0
9257558000121,2017,CERTEL ENERGIA,381790682.0
9257558000121,2018,CERTEL ENERGIA,399734923.0
9257558000121,2019,CERTEL ENERGIA,411593689.0
9257558000121,2020,CERTEL ENERGIA,431915213.0
9257558000121,2021,CERTEL ENERGIA,426294390.0
9257558000121,2022,CERTEL ENERGIA,427843787.0
9257558000121,2023,CERTEL ENERGIA,404726085.0
9364804000144,2010,Ceraçá,47656395.0
9364804000144,2011,Ceraçá,53676722.0
9364804000144,2012,Ceraçá,58394623.0
9364804000144,2013,Ceraçá,60555547.0
9364804000144,2014,Ceraçá,68521460.0
9364804000144,2015,Ceraçá,71565879.0
9364804000144,2016,Ceraçá,73840662.0
9364804000144,2017,Ceraçá,78917714.0
9364804000144,2018,Ceraçá,80249723.0
9364804000144,2019,Ceraçá,86831110.0
9364804000144,2020,Ceraçá,90243057.0
9364804000144,2021,Ceraçá,89888364.0
9364804000144,2022,Ceraçá,85596015.0
9364804000144,2023,Ceraçá,83475799.0
10532365000110,2010,CERAL-DIS,18501692.0
10532365000110,2011,CERAL-DIS,19795730.0
10532365000110,2012,CERAL-DIS,20608289.0
10532365000110,2013,CERAL-DIS,21394624.0
10532365000110,2014,CERAL-DIS,21759888.0
10532365000110,2015,CERAL-DIS,22418446.0
10532365000110,2016,CERAL-DIS,23449800.0
10532365000110,2017,CERAL-DIS,25469793.0
10532365000110,2018,CERAL-DIS,25791649.0
10532365000110,2019,CERAL-DIS,26904081.0
10532365000110,2020,CERAL-DIS,29203355.0
10532365000110,2021,CERAL-DIS,30629922.0
10532365000110,2022,CERAL-DIS,32002199.0
10532365000110,2023,CERAL-DIS,32160354.0
10835932000108,2010,Neoenergia PE,10740979095.0
10835932000108,2011,Neoenergia PE,11206064846.0
10835932000108,2012,Neoenergia PE,11654065422.0
10835932000108,2013,Neoenergia PE,12701157802.0
10835932000108,2014,Neoenergia PE,13292327576.0
10835932000108,2015,Neoenergia PE,13485133653.0
10835932000108,2016,Neoenergia PE,13378763600.0
10835932000108,2017,Neoenergia PE,13396286099.0
10835932000108,2018,Neoenergia PE,13771107658.0
10835932000108,2019,Neoenergia PE,14008762645.0
10835932000108,2020,Neoenergia PE,13603130458.0
10835932000108,2021,Neoenergia PE,14347797664.0
10835932000108,2022,Neoenergia PE,13984327923.0
10835932000108,2023,Neoenergia PE,14000909966.0
11615872000180,2018,CERSAD DISTRIBUI,715301.0
11615872000180,2019,CERSAD DISTRIBUI,8765605.0
11615872000180,2020,CERSAD DISTRIBUI,8900261.0
11615872000180,2021,CERSAD DISTRIBUI,9651892.0
11615872000180,2022,CERSAD DISTRIBUI,9042248.0
11615872000180,2023,CERSAD DISTRIBUI,8181059.0
11810343000138,2019,CODESAM,52309702.0
11810343000138,2020,CODESAM,51310293.0
11810343000138,2021,CODESAM,57358424.0
11810343000138,2022,CODESAM,56014056.0
11810343000138,2023,CODESAM,55880466.0
12272084000100,2010,EQUATORIAL AL,2618346294.0
12272084000100,2011,EQUATORIAL AL,2765850948.0
12272084000100,2012,EQUATORIAL AL,3110132014.0
12272084000100,2013,EQUATORIAL AL,3409759059.0
12272084000100,2014,EQUATORIAL AL,3554453505.0
12272084000100,2015,EQUATORIAL AL,3556027961.0
12272084000100,2016,EQUATORIAL AL,3515500915.0
12272084000100,2017,EQUATORIAL AL,3565744793.0
12272084000100,2018,EQUATORIAL AL,3687607916.0
12272084000100,2019,EQUATORIAL AL,3763607023.0
12272084000100,2020,EQUATORIAL AL,3848140930.0
12272084000100,2021,EQUATORIAL AL,3881021098.0
12272084000100,2022,EQUATORIAL AL,3930244264.0
12272084000100,2023,EQUATORIAL AL,4122141548.0
13017462000163,2010,ESE,2721714610.0
13017462000163,2011,ESE,2884499843.0
13017462000163,2012,ESE,2991883689.0
13017462000163,2013,ESE,3151144718.408
13017462000163,2014,ESE,3228213333.0
13017462000163,2015,ESE,3175686505.0
13017462000163,2016,ESE,3072947633.0
13017462000163,2017,ESE,3046526837.0
13017462000163,2018,ESE,3120785279.0
13017462000163,2019,ESE,3021815842.0
13017462000163,2020,ESE,2824852670.0
13017462000163,2021,ESE,2824493759.0
13017462000163,2022,ESE,2785906952.0
13017462000163,2023,ESE,2882231256.0
13107842000199,2010,CERCOS,5749948.0
13107842000199,2011,CERCOS,6185805.0
13107842000199,2012,CERCOS,7175897.0
13107842000199,2013,CERCOS,7798735.0
13107842000199,2014,CERCOS,8337266.0
13107842000199,2015,CERCOS,8973568.0
13107842000199,2016,CERCOS,9780932.0
13107842000199,2017,CERCOS,9603305.0
13107842000199,2018,CERCOS,9937916.0
13107842000199,2019,CERCOS,10110973.0
13107842000199,2020,CERCOS,10499242.0
13107842000199,2021,CERCOS,10984170.0
13107842000199,2022,CERCOS,11253072.0
13107842000199,2023,CERCOS,11994258.0
13255658000196,2010,SULGIPE,285573385.0
13255658000196,2011,SULGIPE,302011201.0
13255658000196,2012,SULGIPE,322065400.0
13255658000196,2013,SULGIPE,332757056.0
13255658000196,2014,SULGIPE,355404553.0
13255658000196,2015,SULGIPE,354953901.0
13255658000196,2016,SULGIPE,370333752.0
13255658000196,2017,SULGIPE,369500423.0
13255658000196,2018,SULGIPE,377970983.0
13255658000196,2019,SULGIPE,416425360.0
13255658000196,2020,SULGIPE,425387713.0
13255658000196,2021,SULGIPE,485950924.0
13255658000196,2022,SULGIPE,489525972.0
13255658000196,2023,SULGIPE,507268660.0
15139629000194,2010,COELBA,15428280499.0
15139629000194,2011,COELBA,15882487092.0
15139629000194,2012,COELBA,16255866049.0
15139629000194,2013,COELBA,17942491093.0
15139629000194,2014,COELBA,19164217993.0
15139629000194,2015,COELBA,18964298653.0
15139629000194,2016,COELBA,19575171320.0
15139629000194,2017,COELBA,19592739515.0
15139629000194,2018,COELBA,20142224821.0
15139629000194,2019,COELBA,21240272842.0
15139629000194,2020,COELBA,19991090850.0
15139629000194,2021,COELBA,21178451828.0
15139629000194,2022,COELBA,21179963060.0
15139629000194,2023,COELBA,21987088980.0
15413826000150,2010,EMS,3893994682.0
15413826000150,2011,EMS,4004525650.0
15413826000150,2012,EMS,4587073993.0
15413826000150,2013,EMS,4589844683.0
15413826000150,2014,EMS,4934931620.0
15413826000150,2015,EMS,5073458498.0
15413826000150,2016,EMS,5000443653.0
15413826000150,2017,EMS,5242459064.0
15413826000150,2018,EMS,5449222407.0
15413826000150,2019,EMS,5652834437.0
15413826000150,2020,EMS,5676759475.0
15413826000150,2021,EMS,5644159751.0
15413826000150,2022,EMS,5504057915.0
15413826000150,2023,EMS,5455233071.0
19527639000158,2010,EMR,1402956817.0
19527639000158,2011,EMR,1403759466.0
19527639000158,2012,EMR,1432903071.0
19527639000158,2013,EMR,1509352015.0
19527639000158,2014,EMR,1582229249.0
19527639000158,2015,EMR,1559551579.0
19527639000158,2016,EMR,1464483994.0
19527639000158,2017,EMR,1489310140.0
19527639000158,2018,EMR,1501274019.0
19527639000158,2019,EMR,1515219478.0
19527639000158,2020,EMR,1496735422.0
19527639000158,2021,EMR,1489643028.0
19527639000158,2022,EMR,1502602485.0
19527639000158,2023,EMR,1657657515.0
23664303000104,2010,DMED,412280849.0
23664303000104,2011,DMED,426117140.0
23664303000104,2012,DMED,441825442.0
23664303000104,2013,DMED,456728956.0
23664303000104,2014,DMED,478371425.0
23664303000104,2015,DMED,457122956.0
23664303000104,2016,DMED,451234489.0
23664303000104,2017,DMED,474299565.0
23664303000104,2018,DMED,538979172.0
23664303000104,2019,DMED,541374392.0
23664303000104,2020,DMED,510017871.0
23664303000104,2021,DMED,579550952.0
23664303000104,2022,DMED,574564176.0
23664303000104,2023,DMED,532471137.0
25086034000171,2010,ETO,1481763706.0
25086034000171,2011,ETO,1526929135.0
25086034000171,2012,ETO,1658837251.0
25086034000171,2013,ETO,1838801961.0
25086034000171,2014,ETO,1980328814.0
25086034000171,2015,ETO,2108883445.0
25086034000171,2016,ETO,2215735107.0
25086034000171,2017,ETO,2275869873.0
25086034000171,2018,ETO,2342266099.0
25086034000171,2019,ETO,2419351873.0
25086034000171,2020,ETO,2429809933.0
25086034000171,2021,ETO,2436651353.0
25086034000171,2022,ETO,2549100072.0
25086034000171,2023,ETO,2668062859.0
27485069000109,2010,ELFSM,419002107.0
27485069000109,2011,ELFSM,418501789.0
27485069000109,2012,ELFSM,459143695.0
27485069000109,2013,ELFSM,497079050.0
27485069000109,2014,ELFSM,524723274.0
27485069000109,2015,ELFSM,561147323.0
27485069000109,2016,ELFSM,526122177.0
27485069000109,2017,ELFSM,496980000.0
27485069000109,2018,ELFSM,506598751.0
27485069000109,2019,ELFSM,574508767.0
27485069000109,2020,ELFSM,569601899.0
27485069000109,2021,ELFSM,579069777.0
27485069000109,2022,ELFSM,578540419.0
27485069000109,2023,ELFSM,587561995.0
