site_id,papel,pareado_com,ano,ano_relativo_ao_inicio_obra,fase,classe,percentual
ascenty-maracanau,tratamento,ascenty-maracanau,2014,0,durante,vegetacao_rala,25.5171
ascenty-maracanau,tratamento,ascenty-maracanau,2015,1,durante,agua,2.2843999999999998
ascenty-maracanau,tratamento,ascenty-maracanau,2015,1,durante,construida_urbana,55.3701
ascenty-maracanau,tratamento,ascenty-maracanau,2015,1,durante,solo_exposto_obras,1.101
ascenty-maracanau,tratamento,ascenty-maracanau,2015,1,durante,vegetacao_densa,14.1552
ascenty-maracanau,tratamento,ascenty-maracanau,2015,1,durante,vegetacao_rala,27.089299999999998
ascenty-maracanau,tratamento,ascenty-maracanau,2016,2,pos,agua,2.3452
ascenty-maracanau,tratamento,ascenty-maracanau,2016,2,pos,construida_urbana,58.1246
ascenty-maracanau,tratamento,ascenty-maracanau,2016,2,pos,solo_exposto_obras,0.9232
ascenty-maracanau,tratamento,ascenty-maracanau,2016,2,pos,vegetacao_densa,9.8517
ascenty-maracanau,tratamento,ascenty-maracanau,2016,2,pos,vegetacao_rala,28.755300000000002
ascenty-maracanau,tratamento,ascenty-maracanau,2017,3,pos,agua,2.2880000000000003
ascenty-maracanau,tratamento,ascenty-maracanau,2017,3,pos,construida_urbana,57.95400000000001
ascenty-maracanau,tratamento,ascenty-maracanau,2017,3,pos,solo_exposto_obras,1.1502999999999999
ascenty-maracanau,tratamento,ascenty-maracanau,2017,3,pos,vegetacao_densa,12.6914
ascenty-maracanau,tratamento,ascenty-maracanau,2017,3,pos,vegetacao_rala,25.916299999999996
ascenty-osasco,tratamento,ascenty-osasco,2017,-3,pre,agua,0.8330000000000001
ascenty-osasco,tratamento,ascenty-osasco,2017,-3,pre,construida_urbana,63.1705
ascenty-osasco,tratamento,ascenty-osasco,2017,-3,pre,solo_exposto_obras,0.7454
ascenty-osasco,tratamento,ascenty-osasco,2017,-3,pre,vegetacao_densa,19.9739
ascenty-osasco,tratamento,ascenty-osasco,2017,-3,pre,vegetacao_rala,15.277199999999999
ascenty-osasco,tratamento,ascenty-osasco,2018,-2,pre,agua,0.749
ascenty-osasco,tratamento,ascenty-osasco,2018,-2,pre,construida_urbana,62.4915
ascenty-osasco,tratamento,ascenty-osasco,2018,-2,pre,solo_exposto_obras,0.7981
ascenty-osasco,tratamento,ascenty-osasco,2018,-2,pre,vegetacao_densa,20.1441
ascenty-osasco,tratamento,ascenty-osasco,2018,-2,pre,vegetacao_rala,15.817300000000001
ascenty-osasco,tratamento,ascenty-osasco,2019,-1,pre,agua,0.8991000000000001
ascenty-osasco,tratamento,ascenty-osasco,2019,-1,pre,construida_urbana,60.8794
ascenty-osasco,tratamento,ascenty-osasco,2019,-1,pre,solo_exposto_obras,0.6577999999999999
ascenty-osasco,tratamento,ascenty-osasco,2019,-1,pre,vegetacao_densa,22.4345
ascenty-osasco,tratamento,ascenty-osasco,2019,-1,pre,vegetacao_rala,15.129100000000001
ascenty-osasco,tratamento,ascenty-osasco,2020,0,durante,agua,1.318
ascenty-osasco,tratamento,ascenty-osasco,2020,0,durante,construida_urbana,61.8885
ascenty-osasco,tratamento,ascenty-osasco,2020,0,durante,solo_exposto_obras,0.9383
ascenty-osasco,tratamento,ascenty-osasco,2020,0,durante,vegetacao_densa,20.3576
ascenty-osasco,tratamento,ascenty-osasco,2020,0,durante,vegetacao_rala,15.4976
ascenty-osasco,tratamento,ascenty-osasco,2021,1,durante,agua,0.8437
ascenty-osasco,tratamento,ascenty-osasco,2021,1,durante,construida_urbana,63.6705
ascenty-osasco,tratamento,ascenty-osasco,2021,1,durante,solo_exposto_obras,0.9224
ascenty-osasco,tratamento,ascenty-osasco,2021,1,durante,vegetacao_densa,18.7984
ascenty-osasco,tratamento,ascenty-osasco,2021,1,durante,vegetacao_rala,15.765
ascenty-osasco,tratamento,ascenty-osasco,2022,2,durante,agua,0.9399
