nome_datacenter;operadora;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_m;whitespace_referenciado_m;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_m;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;cache_overview_status;cache_specs_status;endereco_corrigido;municipio_corrigido;estado_corrigido;pais_corrigido;cep_corrigido;status_geocode
Ascenty Sao Paulo Capital Campus;Ascenty Data Centers;-23.49066978895181;-46.77612948633123;1;2;Campus;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-capital-campus/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;ok;ok;R. Café Moka, 159 - Chacara Anhanguera, Osasco - SP, 06276-140, Brazil;Osasco;SP;Brazil;06276-140;OK
Ascenty - Sao Paulo SP5;Ascenty Data Centers;-23.4892381;-46.7757703;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp5/;8.0;8.0;7000.0;7000.0;2026.0;Retrofitted;;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0;0;0;0;1;0;SP05;;ok;ok;R. Santa Bárbara, 27 - Industrial Anhangüera, Osasco - SP, 06276-140, Brazil;Osasco;SP;Brazil;06276-140;OK
Ascenty - Sao Paulo SP6;Ascenty Data Centers;-23.4906888;-46.7749425;1;1;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp6/;18.0;18.0;7000.0;7000.0;2027.0;;;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;;1.0;;1.0;;1.0;2.0;2.0;2.0;;;;;;;;;;;;;0;0;0;0;0;SP06;;bloqueado;ok;R. Bento de Souza Borges, 55 - Industrial Anhangüera, Osasco - SP, 06276-016, Brazil;Osasco;SP;Brazil;06276-016;OK
Ascenty - Sao Paulo SP7;Ascenty Data Centers;-23.48473731725123;-46.76933685910062;1;0;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp7/;22.0;22.0;;;;Undefined;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;0;0;0;;;ok;ok;Via Anhanguera, 3201 - Jaguará, Osasco - SP, Brazil;Osasco;SP;Brazil;;OK
Ascenty - Sao Paulo SP8;Ascenty Data Centers;-23.48473731725123;-46.76933685910062;1;0;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp8/;18.0;18.0;;;;Undefined;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;0;0;0;;;ok;ok;Via Anhanguera, 3201 - Jaguará, Osasco - SP, Brazil;Osasco;SP;Brazil;;OK
Ascenty - Sao Paulo SP4;Ascenty Data Centers;-23.4898885;-46.7752556;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sp4/;9.0;9.0;7497.0;7497.0;2023.0;Purpose-built;Sole-tenant;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;;1.0;;1.0;;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;;0.0;0.0;0.0;0.0;0;0;89;1;1;SP04;13720.0;ok;ok;R. Gabriel Rubens Varella, 46 - Industrial Anhangüera, Osasco - SP, 06276-160, Brazil;Osasco;SP;Brazil;06276-160;OK
Ascenty - Sumare SUM3;Ascenty Data Centers;-22.8139696;-47.2115227;1;1;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-sum03/;19.0;19.0;;;;Purpose-built;;1564.0;N+1;1.0;1.0;1.0;;;;;;;;;;;;;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;0;0;0;SUM03;;ok;ok;5QPQ+C9 Sumaré, São Paulo, Brazil;Sumaré;SP;Brazil;;OK
Ascenty - Sumare SUM4;Ascenty Data Centers;-22.8145195;-47.2122186;1;1;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-sum04/;19.0;19.0;;;;Purpose-built;;1564.0;N+1;1.0;1.0;1.0;;;;;;;;;;;;;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;0;0;0;SUM04;;ok;ok;5QPQ+54 Sumaré, São Paulo, Brazil;Sumaré;SP;Brazil;;OK
Ascenty Sumare Campus;Ascenty Data Centers;-22.81398445421749;-47.21224965631805;1;2;Campus;Colocation;;https://www.datacentermap.com/brazil/campinas/ascenty-sumare-campus/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;5QPQ+C4 Sumaré, São Paulo, Brazil;Sumaré;SP;Brazil;;OK
Ascenty - Sumare SUM5;Ascenty Data Centers;-22.8152822;-47.2120903;1;1;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-sumare-sum5/;19.0;19.0;;;;Purpose-built;;;;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;SUM05;;bloqueado;ok;5QMQ+V5 Sumaré, São Paulo, Brazil;Sumaré;SP;Brazil;;OK
Ascenty - Vinhedo VIN2;Ascenty Data Centers;-23.0703237;-47.0129472;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-vin02/;34.0;34.0;24991.0;24991.0;;Purpose-built;;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;1;34;2;1;VIN02;7590.0;ok;ok;Av. João Batista Nunes, 50 - Distrito Industrial Benedito Storani, Vinhedo - SP, 13288-162, Brazil;Vinhedo;SP;Brazil;13288-162;OK
Ascenty Vinhedo Campus;Ascenty Data Centers;-23.070314447734205;-47.01239479446002;1;2;Campus;Colocation;;https://www.datacentermap.com/brazil/campinas/ascenty-vinhedo-campus/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;bloqueado;ok;Av. João Batista Nunes, 50 - Distrito Industrial Benedito Storani, Vinhedo - SP, 13288-162, Brazil;Vinhedo;SP;Brazil;13288-162;OK
Sonda Ativas;Sonda S.A.;-19.942833;-44.011552;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/belo-horizonte/ativas-datacenter-sa/;2.5;2.5;6000.0;6000.0;2011.0;;;;;;;;3.0;3.0;1.0;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;0.0;1.0;1.0;0;0;16;0;0;;1775.0;ok;ok;Rua Sócrates Alvim, 16 - Camargos, Belo Horizonte - MG, 30520-140, Brazil;Belo Horizonte;MG;Brazil;30520-140;OK
Ascenty - Vinhedo VIN1;Ascenty Data Centers;-23.0700044;-47.0118244;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/;27.0;27.0;20987.0;20987.0;;Purpose-built;;1526.0;N+2;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0;0;22;1;1;VIN01;7589.0;ok;ok;Av. João Batista Nunes, 50 - Distrito Industrial Benedito Storani, Vinhedo - SP, 13288-162, Brazil;Vinhedo;SP;Brazil;13288-162;OK
