site_id,municipio,uf,ano,lst_media_celsius,n_observacoes,fonte,colecao_gee,data_extracao
clickip-manaus,Manaus,AM,2025,30.12,35,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2016,27.01,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2017,26.69,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2018,26.83,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2019,27.45,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2020,26.94,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2021,26.47,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2022,25.81,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2023,26.2,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2024,25.91,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,2025,23.21,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
everest-goiania,Goiânia,GO,2016,35.6,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
everest-goiania,Goiânia,GO,2017,35.52,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
everest-goiania,Goiânia,GO,2018,34.62,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
everest-goiania,Goiânia,GO,2019,36.16,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
everest-goiania,Goiânia,GO,2020,35.43,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
everest-goiania,Goiânia,GO,2021,34.94,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
everest-goiania,Goiânia,GO,2022,34.21,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
everest-goiania,Goiânia,GO,2023,34.12,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
everest-goiania,Goiânia,GO,2024,33.0,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
everest-goiania,Goiânia,GO,2025,30.5,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
odata-hortolandia,Hortolândia,SP,2016,31.14,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
odata-hortolandia,Hortolândia,SP,2017,30.91,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
odata-hortolandia,Hortolândia,SP,2018,31.26,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
odata-hortolandia,Hortolândia,SP,2019,31.58,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
odata-hortolandia,Hortolândia,SP,2020,31.99,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
odata-hortolandia,Hortolândia,SP,2021,32.04,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
odata-hortolandia,Hortolândia,SP,2022,30.15,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
odata-hortolandia,Hortolândia,SP,2023,30.18,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
odata-hortolandia,Hortolândia,SP,2024,30.05,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
odata-hortolandia,Hortolândia,SP,2025,27.34,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-sgigsm01,São João de Meriti,RJ,2016,33.76,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-sgigsm01,São João de Meriti,RJ,2017,34.15,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-sgigsm01,São João de Meriti,RJ,2018,34.16,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-sgigsm01,São João de Meriti,RJ,2019,34.97,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-sgigsm01,São João de Meriti,RJ,2020,34.39,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-sgigsm01,São João de Meriti,RJ,2021,33.83,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-sgigsm01,São João de Meriti,RJ,2022,32.57,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-sgigsm01,São João de Meriti,RJ,2023,33.27,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
scala-sgigsm01,São João de Meriti,RJ,2024,32.5,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-03
