site_id,ano,lst_celsius
angonap-fortaleza,2022,31.577
angonap-fortaleza,2022,32.603
angonap-fortaleza,2022,31.845
angonap-fortaleza,2022,32.269
angonap-fortaleza,2022,30.394
angonap-fortaleza,2022,32.536
angonap-fortaleza,2022,31.361
angonap-fortaleza,2022,30.108
angonap-fortaleza,2022,31.605
angonap-fortaleza,2022,33.637
angonap-fortaleza,2022,33.798
angonap-fortaleza,2022,32.66
angonap-fortaleza,2022,31.917
angonap-fortaleza,2022,29.628
angonap-fortaleza,2022,33.453
angonap-fortaleza,2022,31.74
angonap-fortaleza,2022,31.332
angonap-fortaleza,2023,29.459
angonap-fortaleza,2023,30.289
angonap-fortaleza,2023,31.298
angonap-fortaleza,2023,31.774
angonap-fortaleza,2023,28.076
angonap-fortaleza,2023,29.731
angonap-fortaleza,2023,30.959
angonap-fortaleza,2023,31.817
angonap-fortaleza,2023,32.067
angonap-fortaleza,2023,30.24
angonap-fortaleza,2023,31.694
angonap-fortaleza,2023,32.731
angonap-fortaleza,2023,30.742
angonap-fortaleza,2023,32.723
angonap-fortaleza,2023,29.709
angonap-fortaleza,2023,28.422
angonap-fortaleza,2023,27.905
angonap-fortaleza,2023,28.248
angonap-fortaleza,2023,29.327
angonap-fortaleza,2023,28.139
angonap-fortaleza,2023,30.181
angonap-fortaleza,2023,28.663
angonap-fortaleza,2023,28.737
angonap-fortaleza,2023,29.793
angonap-fortaleza,2023,30.564
angonap-fortaleza,2023,30.383
angonap-fortaleza,2023,31.021
angonap-fortaleza,2023,31.744
angonap-fortaleza,2023,27.192
angonap-fortaleza,2023,31.112
angonap-fortaleza,2023,31.774
angonap-fortaleza,2023,32.69
angonap-fortaleza,2023,32.369
angonap-fortaleza,2023,33.323
angonap-fortaleza,2023,32.399
angonap-fortaleza,2023,32.913
angonap-fortaleza,2023,33.185
angonap-fortaleza,2023,31.287
angonap-fortaleza,2023,32.661
angonap-fortaleza,2023,30.892
angonap-fortaleza,2023,33.615
angonap-fortaleza,2023,30.7
angonap-fortaleza,2023,32.268
angonap-fortaleza,2023,29.817
angonap-fortaleza,2023,32.814
angonap-fortaleza,2024,31.563
angonap-fortaleza,2024,31.735
angonap-fortaleza,2024,30.174
angonap-fortaleza,2024,32.965
angonap-fortaleza,2024,31.687
angonap-fortaleza,2024,31.74
angonap-fortaleza,2024,31.641
angonap-fortaleza,2024,29.37
angonap-fortaleza,2024,29.334
angonap-fortaleza,2024,31.854
angonap-fortaleza,2024,30.301
angonap-fortaleza,2024,29.123
angonap-fortaleza,2024,31.343
angonap-fortaleza,2024,29.49
angonap-fortaleza,2024,27.158
angonap-fortaleza,2024,27.771
angonap-fortaleza,2024,29.415
angonap-fortaleza,2024,27.355
angonap-fortaleza,2024,28.233
angonap-fortaleza,2024,27.628
angonap-fortaleza,2024,28.704
angonap-fortaleza,2024,29.644
angonap-fortaleza,2024,29.388
angonap-fortaleza,2024,29.938
angonap-fortaleza,2024,29.918
angonap-fortaleza,2024,29.918
angonap-fortaleza,2024,31.519
angonap-fortaleza,2024,30.543
angonap-fortaleza,2024,29.835
angonap-fortaleza,2024,31.486
angonap-fortaleza,2024,30.581
angonap-fortaleza,2024,31.795
angonap-fortaleza,2024,29.974
angonap-fortaleza,2024,32.949
angonap-fortaleza,2024,33.6
angonap-fortaleza,2024,33.042
angonap-fortaleza,2024,31.089
angonap-fortaleza,2024,30.962
angonap-fortaleza,2024,29.233
angonap-fortaleza,2024,30.424
angonap-fortaleza,2024,28.594
angonap-fortaleza,2024,28.436
angonap-fortaleza,2025,29.948
angonap-fortaleza,2025,31.361
angonap-fortaleza,2025,28.926
angonap-fortaleza,2025,28.756
angonap-fortaleza,2025,30.68
angonap-fortaleza,2025,29.326
angonap-fortaleza,2025,26.41
angonap-fortaleza,2025,25.543
angonap-fortaleza,2025,20.553
angonap-fortaleza,2025,29.465
angonap-fortaleza,2025,29.157
angonap-fortaleza,2025,29.031
angonap-fortaleza,2025,27.806
angonap-fortaleza,2025,29.787
angonap-fortaleza,2025,26.685
angonap-fortaleza,2025,28.608
angonap-fortaleza,2025,28.192
angonap-fortaleza,2025,27.772
angonap-fortaleza,2025,28.351
angonap-fortaleza,2025,25.92
angonap-fortaleza,2025,27.226
angonap-fortaleza,2025,26.849
angonap-fortaleza,2025,25.248
angonap-fortaleza,2025,28.57
angonap-fortaleza,2025,28.101
angonap-fortaleza,2025,27.354
angonap-fortaleza,2025,27.427
angonap-fortaleza,2025,27.521
angonap-fortaleza,2025,29.277
angonap-fortaleza,2025,28.898
angonap-fortaleza,2025,29.157
angonap-fortaleza,2025,29.201
angonap-fortaleza,2025,29.549
angonap-fortaleza,2025,31.624
angonap-fortaleza,2025,31.088
angonap-fortaleza,2025,28.244
angonap-fortaleza,2025,30.887
angonap-fortaleza,2025,30.195
angonap-fortaleza,2025,29.863
angonap-fortaleza,2025,30.642
angonap-fortaleza,2025,28.695
angonap-fortaleza,2025,29.155
angonap-fortaleza,2025,27.911
angonap-fortaleza,2025,26.976
angonap-fortaleza,2025,30.016
angonap-fortaleza,2025,26.927
ascenty-hortolandia,2016,35.535
ascenty-hortolandia,2016,25.675
ascenty-hortolandia,2016,33.061
ascenty-hortolandia,2016,33.806
ascenty-hortolandia,2016,35.382
ascenty-hortolandia,2016,33.299
ascenty-hortolandia,2016,31.71
ascenty-hortolandia,2016,33.882
ascenty-hortolandia,2016,29.771
ascenty-hortolandia,2016,32.684
ascenty-hortolandia,2016,33.615
ascenty-hortolandia,2016,33.153
ascenty-hortolandia,2016,33.911
ascenty-hortolandia,2016,28.325
ascenty-hortolandia,2016,27.373
ascenty-hortolandia,2016,24.143
ascenty-hortolandia,2016,24.406
ascenty-hortolandia,2016,22.048
ascenty-hortolandia,2016,22.187
ascenty-hortolandia,2016,24.217
ascenty-hortolandia,2016,24.589
ascenty-hortolandia,2016,25.703
ascenty-hortolandia,2016,25.277
ascenty-hortolandia,2016,25.964
ascenty-hortolandia,2016,27.501
ascenty-hortolandia,2016,28.043
ascenty-hortolandia,2016,29.925
ascenty-hortolandia,2016,29.714
ascenty-hortolandia,2016,30.763
ascenty-hortolandia,2016,31.189
ascenty-hortolandia,2016,32.81
ascenty-hortolandia,2016,33.684
ascenty-hortolandia,2016,33.356
ascenty-hortolandia,2016,33.154
ascenty-hortolandia,2016,37.107
ascenty-hortolandia,2016,35.046
ascenty-hortolandia,2016,35.244
ascenty-hortolandia,2016,34.251
ascenty-hortolandia,2016,35.193
ascenty-hortolandia,2016,39.437
ascenty-hortolandia,2016,38.764
ascenty-hortolandia,2016,33.821
ascenty-hortolandia,2016,37.517
ascenty-hortolandia,2016,37.701
ascenty-hortolandia,2017,35.276
ascenty-hortolandia,2017,32.266
ascenty-hortolandia,2017,33.81
ascenty-hortolandia,2017,33.815
ascenty-hortolandia,2017,34.965
ascenty-hortolandia,2017,34.887
ascenty-hortolandia,2017,32.5
ascenty-hortolandia,2017,31.06
ascenty-hortolandia,2017,31.692
ascenty-hortolandia,2017,31.162
ascenty-hortolandia,2017,29.768
ascenty-hortolandia,2017,30.615
ascenty-hortolandia,2017,27.795
ascenty-hortolandia,2017,26.767
ascenty-hortolandia,2017,27.193
ascenty-hortolandia,2017,25.143
ascenty-hortolandia,2017,26.394
ascenty-hortolandia,2017,24.687
ascenty-hortolandia,2017,22.396
ascenty-hortolandia,2017,25.829
ascenty-hortolandia,2017,22.954
ascenty-hortolandia,2017,23.03
ascenty-hortolandia,2017,24.331
ascenty-hortolandia,2017,26.934
ascenty-hortolandia,2017,27.579
ascenty-hortolandia,2017,28.112
ascenty-hortolandia,2017,28.684
ascenty-hortolandia,2017,29.082
ascenty-hortolandia,2017,31.455
ascenty-hortolandia,2017,35.405
ascenty-hortolandia,2017,36.373
ascenty-hortolandia,2017,35.804
ascenty-hortolandia,2017,32.069
ascenty-hortolandia,2017,35.63
ascenty-hortolandia,2017,35.389
ascenty-hortolandia,2017,35.182
ascenty-hortolandia,2017,36.704
ascenty-hortolandia,2017,35.755
ascenty-hortolandia,2017,33.484
ascenty-hortolandia,2017,34.171
ascenty-hortolandia,2017,35.616
ascenty-hortolandia,2017,36.523
ascenty-hortolandia,2017,32.521
ascenty-hortolandia,2017,32.91
ascenty-hortolandia,2018,32.343
ascenty-hortolandia,2018,30.496
ascenty-hortolandia,2018,34.156
ascenty-hortolandia,2018,32.435
ascenty-hortolandia,2018,34.758
ascenty-hortolandia,2018,32.571
ascenty-hortolandia,2018,33.011
ascenty-hortolandia,2018,35.192
ascenty-hortolandia,2018,34.87
ascenty-hortolandia,2018,34.313
ascenty-hortolandia,2018,32.726
ascenty-hortolandia,2018,30.674
ascenty-hortolandia,2018,31.325
ascenty-hortolandia,2018,31.208
ascenty-hortolandia,2018,32.119
ascenty-hortolandia,2018,31.296
ascenty-hortolandia,2018,29.945
ascenty-hortolandia,2018,24.795
ascenty-hortolandia,2018,27.555
ascenty-hortolandia,2018,23.305
ascenty-hortolandia,2018,26.232
ascenty-hortolandia,2018,27.273
ascenty-hortolandia,2018,27.891
ascenty-hortolandia,2018,28.227
ascenty-hortolandia,2018,29.039
ascenty-hortolandia,2018,28.023
ascenty-hortolandia,2018,28.785
ascenty-hortolandia,2018,23.813
ascenty-hortolandia,2018,26.943
ascenty-hortolandia,2018,29.068
ascenty-hortolandia,2018,31.264
ascenty-hortolandia,2018,31.276
ascenty-hortolandia,2018,26.609
ascenty-hortolandia,2018,36.024
ascenty-hortolandia,2018,34.938
ascenty-hortolandia,2018,30.235
ascenty-hortolandia,2018,34.087
ascenty-hortolandia,2018,32.517
ascenty-hortolandia,2018,35.316
ascenty-hortolandia,2018,36.478
ascenty-hortolandia,2018,36.397
ascenty-hortolandia,2018,34.905
ascenty-hortolandia,2018,38.354
ascenty-hortolandia,2018,36.598
ascenty-hortolandia,2019,35.622
