site_id,tier,regiao,bioma,sensor,ano,n_imagens_usadas,pct_pixels_validos,tamanho_mb,status
clickip-manaus,1,Norte,Amazônia,sentinel2,2019,47,100.0,6.977,ok
clickip-manaus,1,Norte,Amazônia,sentinel2,2020,49,100.0,6.947,ok
clickip-manaus,1,Norte,Amazônia,sentinel2,2021,48,100.0,6.901,ok
clickip-manaus,1,Norte,Amazônia,sentinel2,2022,48,100.0,6.894,ok
clickip-manaus,1,Norte,Amazônia,sentinel2,2023,48,100.0,6.872,ok
clickip-manaus,1,Norte,Amazônia,sentinel2,2024,48,100.0,6.834,ok
clickip-manaus,1,Norte,Amazônia,sentinel2,2025,70,100.0,7.022,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,landsat,2013,7,99.8007,0.974,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,landsat,2014,7,99.7283,0.979,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,landsat,2015,7,99.9893,0.976,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,landsat,2016,8,99.6863,0.98,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,landsat,2017,8,99.9955,0.977,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,landsat,2018,6,99.9893,0.984,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,landsat,2019,7,100.0,0.983,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,landsat,2020,6,99.9929,0.976,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,landsat,2021,7,99.9902,0.986,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,sentinel2,2019,127,100.0,6.943,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,sentinel2,2020,117,100.0,6.888,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,sentinel2,2021,119,100.0,6.943,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,sentinel2,2022,104,100.0,6.949,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,sentinel2,2023,103,100.0,6.913,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,sentinel2,2024,111,100.0,6.879,ok
equinix-santana-parnaiba,1,Sudeste,Mata Atlântica,sentinel2,2025,128,100.0,7.065,ok
everest-goiania,1,Centro-Oeste,Cerrado,landsat,2013,14,100.0,0.996,ok
everest-goiania,1,Centro-Oeste,Cerrado,landsat,2014,16,100.0,0.997,ok
everest-goiania,1,Centro-Oeste,Cerrado,landsat,2015,16,100.0,0.998,ok
everest-goiania,1,Centro-Oeste,Cerrado,landsat,2016,16,100.0,0.994,ok
everest-goiania,1,Centro-Oeste,Cerrado,landsat,2017,14,100.0,1.003,ok
everest-goiania,1,Centro-Oeste,Cerrado,landsat,2018,14,99.9973,1.0,ok
everest-goiania,1,Centro-Oeste,Cerrado,landsat,2019,16,100.0,0.998,ok
everest-goiania,1,Centro-Oeste,Cerrado,landsat,2020,16,100.0,1.002,ok
everest-goiania,1,Centro-Oeste,Cerrado,landsat,2021,16,100.0,0.997,ok
everest-goiania,1,Centro-Oeste,Cerrado,sentinel2,2019,25,100.0,6.943,ok
everest-goiania,1,Centro-Oeste,Cerrado,sentinel2,2020,25,100.0,6.918,ok
everest-goiania,1,Centro-Oeste,Cerrado,sentinel2,2021,25,100.0,6.896,ok
everest-goiania,1,Centro-Oeste,Cerrado,sentinel2,2022,25,100.0,6.926,ok
everest-goiania,1,Centro-Oeste,Cerrado,sentinel2,2023,25,100.0,6.963,ok
everest-goiania,1,Centro-Oeste,Cerrado,sentinel2,2024,25,100.0,6.919,ok
everest-goiania,1,Centro-Oeste,Cerrado,sentinel2,2025,36,100.0,6.932,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,landsat,2013,12,99.9785,0.969,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,landsat,2014,14,99.8754,0.978,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,landsat,2015,15,99.9839,0.972,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,landsat,2016,14,99.9946,0.969,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,landsat,2017,14,100.0,0.974,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,landsat,2018,13,99.9973,0.974,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,landsat,2019,14,99.9928,0.974,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,landsat,2020,14,99.9991,0.973,ok
odata-hortolandia,1,Sudeste,Mata Atlântica,landsat,2021,13,99.9946,0.971,ok
