par,horizonte,variavel,efeito_liquido
ascenty-jundiai,-1,prop_construida_urbana,0.0
ascenty-jundiai,-1,prop_agua,0.0
ascenty-jundiai,-1,lst_media_celsius,0.0
ascenty-jundiai,-1,populacao,0.0
ascenty-jundiai,-1,emprego_formal_total,0.0
ascenty-jundiai,-1,pib_mil_reais,0.0
ascenty-jundiai,-1,numero_empresas,0.0
ascenty-jundiai,0,prop_vegetacao_densa,0.013619999999999965
ascenty-jundiai,0,prop_vegetacao_rala,-0.014450999999999992
ascenty-jundiai,0,prop_solo_exposto_obras,-0.003963000000000001
ascenty-jundiai,0,prop_construida_urbana,0.0050190000000000234
ascenty-jundiai,0,prop_agua,-0.0002249999999999993
ascenty-jundiai,0,lst_media_celsius,-0.40499999999999403
ascenty-jundiai,0,populacao,3237.0
ascenty-jundiai,0,emprego_formal_total,4119.0
ascenty-jundiai,0,pib_mil_reais,3285808.0
ascenty-jundiai,0,numero_empresas,2226.0
ascenty-jundiai,1,prop_vegetacao_densa,0.013113000000000041
ascenty-jundiai,1,prop_vegetacao_rala,-0.009050999999999976
ascenty-jundiai,1,prop_solo_exposto_obras,-0.005954000000000001
ascenty-jundiai,1,prop_construida_urbana,0.0016860000000000208
ascenty-jundiai,1,prop_agua,0.00020700000000000037
ascenty-jundiai,1,lst_media_celsius,0.6231000000000009
ascenty-jundiai,1,populacao,6390.0
ascenty-jundiai,1,emprego_formal_total,-637.0
ascenty-jundiai,1,pib_mil_reais,7992820.0
ascenty-jundiai,1,numero_empresas,2926.0
ascenty-jundiai,2,prop_vegetacao_densa,0.04917799999999997
ascenty-jundiai,2,prop_vegetacao_rala,-0.026665999999999968
ascenty-jundiai,2,prop_solo_exposto_obras,-0.0031219999999999998
ascenty-jundiai,2,prop_construida_urbana,-0.019015999999999977
ascenty-jundiai,2,prop_agua,-0.0003749999999999997
ascenty-jundiai,2,lst_media_celsius,-0.022099999999998232
ascenty-jundiai,2,populacao,9453.0
ascenty-jundiai,2,emprego_formal_total,13443.0
ascenty-jundiai,2,pib_mil_reais,13612277.0
