variavel,horizonte,media,mediana,desvio_padrao,n_pares
prop_construida_urbana,-2,-0.005202428571428574,-0.004950500000000031,0.011572421079806581,14
prop_construida_urbana,-1,0.0,0.0,0.0,15
prop_construida_urbana,0,-0.0001885333333333417,0.0009250000000000091,0.017180824647041276,15
prop_construida_urbana,1,-0.0011671999999999987,-0.0012379999999999752,0.010682533970391647,15
prop_construida_urbana,2,-0.0008262666666666682,0.00020300000000000873,0.01801388610991403,15
prop_construida_urbana,3,-0.004276769230769223,-0.002905999999999964,0.013184125417548232,13
prop_construida_urbana,4,0.03730099999999992,0.03730099999999992,,1
prop_solo_exposto_obras,-3,0.0013247857142857152,0.001252,0.004120518996037186,14
prop_solo_exposto_obras,-2,-0.00048342857142857145,-0.0005589999999999931,0.002747656979886841,14
prop_solo_exposto_obras,-1,0.0,0.0,0.0,15
prop_solo_exposto_obras,0,-0.0012121333333333316,-0.0005190000000000004,0.002317776208433627,15
prop_solo_exposto_obras,1,0.0017123333333333337,-4.2999999999999636e-05,0.00741042256040838,15
prop_solo_exposto_obras,2,0.0008816666666666674,0.0005090000000000025,0.005315705136220225,15
prop_solo_exposto_obras,3,0.0014685384615384601,-0.0005760000000000001,0.009217181615651139,13
prop_solo_exposto_obras,4,0.0008790000000000013,0.0008790000000000013,,1
prop_vegetacao_densa,-3,0.0057835714285714305,0.0070595000000000015,0.027036351320495793,14
prop_vegetacao_densa,-2,-9.471428571428528e-05,-0.005075000000000017,0.016005294952842107,14
prop_vegetacao_densa,-1,0.0,0.0,0.0,15
prop_vegetacao_densa,0,-0.0008848666666666648,0.000661999999999989,0.02972701867918108,15
prop_vegetacao_densa,1,0.004915000000000008,0.004513000000000017,0.028517704961755142,15
prop_vegetacao_densa,2,-0.0017458666666666685,0.002748000000000028,0.032916301210942946,15
prop_vegetacao_densa,3,0.0029631538461538424,0.013141999999999987,0.024107971920944025,13
prop_vegetacao_densa,4,-0.037892,-0.037892,,1
prop_vegetacao_rala,-3,-0.003798785714285707,-0.006664500000000004,0.026261335205901144,14
prop_vegetacao_rala,-2,0.006765285714285714,0.007639500000000014,0.02323157861594883,14
prop_vegetacao_rala,-1,0.0,0.0,0.0,15
prop_vegetacao_rala,0,0.0014922666666666604,-0.003127999999999992,0.027851958803817068,15
prop_vegetacao_rala,1,-0.008611800000000003,-0.00330700000000006,0.029768250613699143,15
prop_vegetacao_rala,2,0.0020881999999999984,0.004650000000000015,0.033417153781938304,15
prop_vegetacao_rala,3,0.0022874615384615386,-0.001358999999999999,0.023210968038176058,13
prop_vegetacao_rala,4,-8.999999999997899e-05,-8.999999999997899e-05,,1
